geo\time,2005,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017
Prov. Antwerpen,:,,136,,129,,125,,81,,114,,110,,110,,84,,195,,257,,255
Prov. Vlaams-Brabant,15951,,17745,,18369,,16785,,16980,,18613,,18815,,18985,,21754,,23269,,21769,,24776
Prov. West-Vlaanderen,:,,168,,164,,151,,175,,201,,204,,220,,226,,260,,423,,354
Prov. Hainaut,1863,,2443,,2942,,3919,,5181,,5883,,6506,,6776,,6425,,6945,,7291,,7688
Prov. Liège,:,,329,,395,,351,,295,,303,,296,,310,,298,,295,,378,,188
Severoiztochen,:,,1493,,1430,,1212,,1200,,1165,,1210,,1302,,1372,,1382,,1669,,1947
Yugoiztochen,:,,1947,,1920,,1684,,1872,,2227,,2357,,2461,,2508,,2334,,2854,,2950
Yugozapaden,:,,2723,,3205,,3116,,3278,,3466,,3456,,3497,,3808,,4057,,4964,,6478
Praha,10721,,12359,,12587,,11602,,11514,,11724,,10774,,10950,,11130,,11868,,12990,,15386
Severozápad,36,,61,,76,,62,,68,,96,,101,,101,,82,,35,,19,,20
Severovýchod,:,,:,,:,,43,,59,,59,,124,,179,,145,,54,,28,,85
Jihovýchod,276,,380,,455,,391,,356,,525,,498,,433,,457,,436,,399,,459
Moravskoslezsko,232,,298,,311,,270,,244,,246,,246,,229,,266,,280,,237,,312
Hovedstaden,19826,,21305,,21694,,19609,,21394,,22622,,23252,,23973,,25536,,26518,,28958,,29119
Sjælland,10,,12,,11,,8,,9,,13,,10,,10,,7,,8,,8,,7
Syddanmark,2213,,2436,,2665,,2391,,2665,,2796,,2793,,2911,,2961,,2999,,3209,,3499
Midtjylland,728,,786,,772,,689,,869,,880,,638,,588,,545,,498,,535,,515
Nordjylland,687,,984,,1043,,1117,,1323,,1378,,1301,,1381,,1377,,1417,,1493,,1493
Stuttgart,9246,,10269,,9874,,8875,,9135,,9535,,9677,,9545,,9689,,10487,,10599,,10942
Karlsruhe,753,,1026,,1199,,1130,,1215,,1107,,1278,,1054,,947,,1045,,1101,,1236
Freiburg,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,,:,,:
Tübingen,575,,622,,618,,544,,570,,539,,507,,497,,550,,511,,467,,456
Oberbayern,28448,,33814,,34400,,32560,,34520,,37593,,38186,,38518,,39571,,40861,,42159,,44535
Niederbayern,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,,:,,:
Oberfranken,22,,25,,20,,17,,14,,:,,:,,:,,:,,:,,:,,:
Mittelfranken,3882,,4229,,4229,,3928,,4020,,3934,,3569,,3294,,3237,,3352,,3449,,4161
Schwaben,13,,85,,460,,806,,903,,755,,867,,837,,747,,869,,993,,1176
Berlin,12012,,13670,,14713,,14133,,14966,,16892,,18148,,19576,,20669,,20995,,21245,,20451
Brandenburg,5050,,6306,,6615,,6767,,7255,,7099,,7081,,6712,,7274,,8509,,11625,,12852
Bremen,1710,,2220,,2477,,2435,,2657,,2553,,2442,,2606,,2768,,2657,,2568,,2535
Hamburg,10573,,12689,,12782,,12178,,12884,,13527,,13675,,13482,,14739,,15581,,16191,,17589
Darmstadt,51790,,53854,,53189,,50573,,52646,,56275,,57261,,57878,,59414,,60889,,60669,,64390
Kassel,0,,0,,0,,0,,0,,:,,:,,:,,:,,:,,:,,:
Mecklenburg-Vorpommern,3,,173,,160,,147,,171,,164,,146,,122,,111,,:,,218,,263
Braunschweig,2,,2,,1,,1,,2,,:,,:,,:,,:,,:,,:,,:
Hannover,5530,,5586,,5569,,4905,,4994,,5301,,5261,,5209,,5266,,5432,,5384,,5854
Weser-Ems,1,,0,,1,,0,,0,,:,,:,,:,,:,,:,,:,,:
Düsseldorf,15974,,18627,,19623,,20115,,21789,,22707,,23005,,23672,,23624,,24357,,25350,,26495
Köln,9385,,10404,,10296,,9696,,9786,,9597,,9256,,9051,,9418,,10313,,11879,,12366
Münster,1479,,1553,,1520,,1344,,1288,,1292,,1002,,842,,878,,804,,771,,949
Detmold,1282,,1208,,1116,,937,,977,,954,,861,,784,,757,,765,,686,,724
Arnsberg,1687,,2091,,2297,,1691,,1732,,1808,,1892,,1916,,1954,,1973,,1915,,1997
Koblenz,2998,,3953,,3885,,3738,,3454,,2830,,2651,,2585,,2380,,2597,,2515,,2358
