"","Country.Name","Property.Rights","Change.in.Property.Rights.from.2015","Freedom.from.Corruption","Change.in.Freedom.from.Corruption.from.2015","Fiscal.Freedom","Change.in.Fiscal.Freedom.from.2015","Gov.t.Spending","Change.in.Gov.t.Spending.from.2015","Business.Freedom","Change.in.Business.Freedom.from.2015","Labor.Freedom","Change.in.Labor.Freedom.from.2015","Monetary.Freedom","Change.in.Monetary.Freedom.from.2015","Trade.Freedom","Change.in.Trade.Freedom.from.2015","Investment.Freedom","Change.in.Investment.Freedom.from.2015","Financial.Freedom","Change.in.Financial.Freedom.from.2015","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP.","HUMAN.FREEDOM..Rank.","HUMAN.FREEDOM..Quartile.","Procedural.Justice","Homicide","Homicide.DATA","Disappearances","Violent.Conflicts","Violent.Conflicts.DATA","Organised.Conflicts","Terrorism.Fatalities","Terrorism.Fatalities.DATA","Terrorism.Injuries","Terrorism.Injuries.DATA","Disapperances","Conflicts","and.Terrorism","Female.Genital.Mutilation","Missing.Women","Inheritance.Rights..Widows","Inheritance.Rights..Daughters","Inheritance.Rights","Women.s.Security...Safety","Security...Safety","Domestic.Movement","Foreign.Movement","Women.s.Movement","Movement","Establishing.Religious.Organizations","Operating.Religious.Organizations","Establishing.and.Operating.Religious.Organizations","Harassment.and.Physical.Hostilities","Legal.and.Regulatory.Restrictions","Religion","Association","Assembly","Establishing.Political.Parties","Operating.Political.Parties","Establishing.and.Operating.Political.Parties","Establishing.Professional.Organization","Operating.Professional.Organization","Establishing.and.Operating.Professional.Organization","Establishing.Educational","Sporting.and.Cultural.Organizations","Operating.Educational","Sporting.and.Cultural.Organizations.1","Establishing.and.Operating.Educational","Sporting.and.Cultural.Organizations.2","Top.marginal.income.and.payroll.tax.rate","Top.marginal.income.and.payroll.tax.rate.DATA","Top.marginal.tax.rate","Size.of.Government","Judicial.independence","Impartial.courts","Protection.of.property.rights","Military.interference.in.rule.of.law.and.politics","Integrity.of.the.legal.system","Legal.enforcement.of.contracts","Regulatory.restrictions.on.the.sale.of.real.property","Reliability.of.police","Business.costs.of.crime","Gender.Adjustment","Legal.System...Property.Rights","Money.growth","Money.growth.DATA","Standard.deviation.of.inflation","Standard.deviation.of.inflation.DATA","Inflation..Most.recent.year","Inflation..Most.recent.year.DATA","Freedom.to.own.foreign.currency.bank.accounts","Sound.Money","Revenue.from.trade.taxes....of.trade.sector.","Revenue.from.trade.taxes....of.trade.sector..DATA","Mean.tariff.rate","Mean.tariff.rate.DATA","Standard.deviation.of.tariff.rates","Standard.deviation.of.tariff.rates.DATA","Tariffs","Non.tariff.trade.barriers","Compliance.costs.of.importing.and.exporting","Regulatory.trade.barriers","Black.market.exchange.rates","Foreign.ownership.investment.restrictions","Capital.controls","Freedom.of.foreigners.to.visit","Controls.of.the.movement.of.capital.and.people","Freedom.to.trade.internationally","Ownership.of.banks","Private.sector.credit","Interest.rate.controls.negative.real.interest.rates.","Credit.market.regulations","Hiring.regulations.and.minimum.wage","Hiring.and.firing.regulations","Centralized.collective.bargaining","Hours.Regulations","Mandated.cost.of.worker.dismissal","Conscription","Labor.market.regulations","Administrative.requirements","Bureaucracy.costs","Starting.a..business","Extra.payments.bribes.favoritism","Licensing.restrictions","Tax.compliance","Business.regulations","Regulation","ECONOMIC.FREEDOM..Score.","ECONOMIC.FREEDOM..Rank.","Unemployment"
"1","Albania",35,5,33,2,87.8,0.6,75,-1.1,67.6,-3,51.5,-1.4,81.7,0.9,87.6,-0.2,70,0,70,0,1.2,23,15,21.7,28.9,2.8,31.6,2.1,2.3,11377,1.6,1093.5,72.6,57,48,2,5,4,7,5,3,8,9,2,7,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,7,5,5,0,5,0,5,0,7,5,8,8,5,0,10,0,10,0,0,0,10,0,0,0,5,0,5,3,10,0,10,0,10,0,8,6,0,0,10,0,10,0,10,0,10,0,10,0,10,0,5,0,6,3,7,60,57,8,23,12,1,7,5,9,6,8,0,15,9,9,0,23,0,7,0,16.1
"2","Algeria",25,-5,36,0,81,1,59.4,20.7,62.1,-4.5,48.2,-2.3,68.1,-3.1,60.8,0,30,5,30,0,12.1,35,23,12.2,38,38.7,551.8,4.1,3.3,14259,2.9,1488,8.8,14,155,4,3,8,9,5,1,4,10,0,9,3,2,1,5,0,9,9,0,2,10,0,0,0,8,8,10,0,7,5,0,0,0,0,0,0,5,8,8,0,5,0,5,0,5,0,0,0,10,0,0,0,2,7,4,0,10,0,7,5,7,5,7,4,15.6468976027896,0,0,5,0,2,5,0,0,0,0,0,0,0,0,0,8,5,28,147,2,15,32,69,7,8,8,5,0,0,39.78132112503,7,0,35,0,2,0,53,0,4,5,3,9.5
"3","Angola",15,0,19,-4,87.8,3.3,50.1,0,50.3,2.9,44.8,1.6,72.2,6.8,70.2,0,40,0,40,0,4.9,17,30,6,40.8,24.4,175.6,4.2,4.7,7203,7.3,-3881,38,64,142,4,3,5,8,1,4,8,5,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,8,5,10,0,10,0,5,0,5,0,5,0,8,3,8,3,0,0,5,0,10,0,0,0,10,0,0,0,2,7,2,5,7,5,5,0,7,5,6,5,10,0,10,0,10,0,10,0,0,0,0,0,0,0,10,0,7,5,6,11,117,7,60,14,16,8,9,4,6,0,0,54,2,10,0,17,0,9,0,25,0,9,6.8
"4","Argentina",15,0,34,0,66.1,-0.7,51.3,10.1,56,3.2,43.9,0.6,44,-15.6,67.4,-1.4,30,0,30,0,6.3,35,35,30.6,40.3,42,947.6,0.5,4.4,22582,37.6,6612,48.6,47,107,3,8,4,3,5,7,7,6,5,9,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,10,0,10,0,10,0,10,0,10,0,9,0,10,0,10,5,10,0,0,0,10,0,0,0,5,7,5,5,10,0,10,0,10,0,8,7,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,8,10,42,5,34,21,86,6,0,15,0,6,0,23.1865695820823,7,0,35,0,1,0,58,8.2
"5","Armenia",20,0,37,1,83.8,-0.6,80.7,-2.1,77.5,-5.2,62.2,-2.1,72.8,2.2,85.6,0.2,80,5,70,0,2.2,26,20,23.4,25.4,3.3,24.3,3.4,4.2,7374,3.1,382.8,44.2,24,57,2,5,0,8,8,3,0,10,0,10,0,0,0,7,5,9,3,2,1,9,9,0,3,9,3,10,0,5,0,10,0,10,0,10,0,8,3,8,8,5,0,5,0,10,0,0,0,10,0,0,0,3,3,4,3,7,5,7,5,7,5,7,2,7,0,10,0,10,0,10,0,10,0,10,0,10,0,5,0,8,0,6,91,84,7,26,15,30,7,7,8,8,8,0,15,7,5,0,36,0,5,0,36,0,5,17.1
"6","Australia",90,0,80,-1,63.2,-0.5,62,0.2,89.4,-4.7,77.2,-4.4,85.2,-0.1,86.4,0,80,0,90,0,1.8,45,30,27.5,35.6,23.6,1095.4,2.7,2.7,46433,2.5,51854.2,34.3,58,4,1,5,7,4,7,8,9,6,0,9,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,9,10,0,10,0,10,0,0,0,10,0,0,0,8,0,7,8,10,0,10,0,10,0,9,4,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,9,18,11,4,51,24,66,6,7,12,7,10,0,14,4,5,0,47,0,5,0,6
"7","Austria",90,0,72,3,50.7,0.6,22.4,2.6,79.4,1.4,72.5,-4.2,81.7,1.4,88,0,90,0,70,0,1,50,25,42.5,50.9,8.5,395.5,0.3,1.3,46420,1.5,4674.9,86.8,41,16,1,9,7,7,8,2,9,7,0,7,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,9,10,0,10,0,10,0,0,0,10,0,0,0,7,3,8,0,10,0,10,0,10,0,9,3,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,25,8,3,7,27,3,3,1,25,8,10,0,13,0,4,0,55,0,3,0,5
"8","Azerbaijan",20,0,29,1,88,-0.1,56.7,-3,70.3,-4.2,75.2,-3.9,77,-2.8,75.8,-0.2,60,5,50,0,4.6,25,20,13.3,38,9.4,165.3,2.8,3.2,17618,1.4,4430.4,16.4,8,130,4,4,3,9,1,2,1,10,0,5,2,14,4,7,5,10,0,0,1,10,0,0,1,8,5,10,0,7,5,5,0,10,0,7,5,8,3,8,7,5,0,5,0,5,0,0,0,4,9,5,0,0,3,0,3,10,0,0,0,7,5,4,7,0,0,10,0,10,0,10,0,10,0,10,0,10,0,5,0,6,3,5,68,131,6,3,18,5,7,9,8,3,0,0,77,1,9,0,25,0,4,0,41,0,6,5.2
"9","Bahamas",70,0,71,0,97.9,0.1,84.3,1.1,70.7,1.8,72.8,-2.5,78.5,-0.3,64,11.8,40,10,60,0,13,0,0,14.4,22.8,0.4,9,1.3,1.1,25049,1.2,1595.9,60.4,40,50,2,0,6,3,6,4,0,0,28,4,10,0,10,0,0,0,-21.7312270183957,10,0,0,0,10,0,0,0,10,0,29.8929494956559,-25.1031956075779,-7.67747791237414,5.78956149040115,-9.4190873554794,-1.58304886147555,5,0,10,0,10,0,-0.408929885244696,10,0,14.0811963576083,15.3968794904898,16.3962742897037,-23.0858238137373,8,9,-3.20922944267946,10,0,10,0,10,0,10,0,10,0,10,0,11.8385200308986,10,0,7,45,64,7,1,15,9,9,0,4,0,7,0,9.327432919771,10,0,0,0,10,0,9,0,10,0,8,3,15.2214583238704,6,7,-49.0582797810521,10,0,6,7,4,7,6,1,33.246961638374,4.76161210147141,0,15.4
"10","Bahrain",60,0,49,1,99.9,0,75.4,2.3,71.9,-0.6,79.1,-4,74.6,0.4,82.6,4,70,5,80,0,3.7,0,0,3.1,28.6,1.2,61.9,4.7,4,51714,2.5,957.4,43.8,85,75,2,5,9,9,8,0,5,10,0,10,0,0,0,2,5,9,8,0,7,9,7,1,4,8,4,10,0,7,5,0,0,0,0,0,0,5,8,8,0,10,0,5,0,5,0,0,0,0,0,7,0,0,7,0,8,7,5,7,5,2,5,4,1,13.4265117928507,0,0,0,0,0,0,10,0,10,0,10,0,0,0,3,3,6,14,114,3,7,27,5,9,6,2,0,10,0,14,1,10,0,0,0,10,0,17,0,10,0,4.1
