"","geo.time","variable","airtransport","fertility_rate","gdp_pps","hr_science_tech","life_expectancy","material_depreviation","motorway","unemployment_rate","population_density","risk_poverty","tertiary_education","tourism_bed_places"
"10","Abruzzo","X2009","408","1.31","22100","33.2","81.3","4.9","352","8","122.9","21.9","16.1","2160"
"11","Abruzzo","X2010","456","1.37","22800","33.7","82.1","5.4","352","8.7","122.9","20.8","16.4","2273"
"12","Abruzzo","X2011","545","1.35","23800","34.7","82.4","13.2","352","8.6","122.9","25.8","17.4","2373"
"13","Abruzzo","X2012","559","1.35","24100","34","82.6","8.1","352","10.8","123.1","20.4","17.5","2380"
"14","Abruzzo","X2013","542","1.3","23400","35.1","82.9","8.6","352","11.3","122.2","18.7","17.5","2384"
"15","Abruzzo","X2014","553","1.29","23500","32.5","83.1","9.5","352","12.6","125.3","22","16.5","2529"
"16","Abruzzo","X2015","610","1.28","24300","31.4","82.7","11.1","355","12.6","125","21.7","17","2733"
"17","Abruzzo","X2016","569","1.28","24500","32.5","83.5","15.1","355","12.1","124.5","20.5","17","2713"
"18","Abruzzo","X2017","665","1.24","25000","33.6","82.9","15.6","355","11.7","122","19.8","18.3","2838"
"19","Agder og Rogaland","X2009","4731","2.15","35900","41.3","81.2","2.1","63","2.2","29.6","11.9","30.6","259"
"20","Agder og Rogaland","X2010","4816","2.15","37900","43","81","1.8","63","2.6","30.1","10.9","32.9","258"
"21","Agder og Rogaland","X2011","5394","2.04","37300","45.5","81.2","2","63","2.2","30.6","10.9","34.3","257"
"22","Agder og Rogaland","X2012","5818","2.02","39500","46.5","81.5","1.8","51","2.7","31.2","8.2","35.5","247"
"23","Agder og Rogaland","X2013","6178","1.94","40100","47.9","81.9","2","63","3.2","31.7","8.4","36.9","321"
"24","Agder og Rogaland","X2014","6151","1.87","40500","49.5","82.5","1.2",NA,"3.1","32.1","9.1","38.5","300"
"25","Agder og Rogaland","X2015","5911","1.85","39800","50.9","83","1.1","63","4.6","32.4","10.4","39.9","288"
"26","Agder og Rogaland","X2016","5592","1.85","35700","50.7","82.5","2.3","63","5.5","31.7","12.3","40","285"
"27","Agder og Rogaland","X2017","5610","1.77",NA,"50.8","82.7","3","63","5.2","31.9","12.2","39.8","273"
"28","Åland","X2009","56","1.69","35300","43.7","82","0","0",NA,"17.8","3","29.9","75"
"29","Åland","X2010","49","1.83","35000","43.7","83.2","1.6","0",NA,"18","5.4","27.6","75"
"30","Åland","X2011","54","1.8","35600","41.6","82.1","1.1","0",NA,"18.2","9.3","26.4","75"
"31","Åland","X2012","55","1.85","38100","46.5","79.7","2.6","0",NA,"18.3","15.3","32.7","75"
"32","Åland","X2013","52","1.8","38100","49.6","82.5","1.6","0",NA,"18.4","16.3","33.8","74"
"33","Åland","X2014","52","1.78","37300","44.7","83","1","0",NA,"18.6","16.3","32","73"
"34","Åland","X2015","59","1.69","39100","43.1","82.5","0.4","0",NA,"18.6","14.4","29.9","75"
"35","Åland","X2016","60","1.79","37700","48.6","80.9","1.9","0",NA,"18.7","4.3","29.2","73"
"36","Åland","X2017","62","1.68","37900","48.2","84","0","0",NA,"18.9","8.8","30.4","73"
"37","Andalucía","X2009","18592","1.48","18800","31.1","80.5","5.7","2379","25.2","95.3","28.8","25.2","5218"
"38","Andalucía","X2010","18936","1.45","18500","31.9","81","5.6","2391","27.8","96","28.3","25.7","5367"
"39","Andalucía","X2011","20243","1.42","18300","31.3","81.1","6.3","2453","30.1","96.6","30.7","25.8","5663"
"40","Andalucía","X2012","19035","1.4","18100","31.4","81.1","7.5","2462","34.4","96.9","28.3","26.5","5888"
"41","Andalucía","X2013","18568","1.34","17800","32","81.8","7","2457","36.2","97","29.1","27.3","6137"
"42","Andalucía","X2014","19635","1.39","18400","32.7","82.1","9.5","2490","34.8","96.8","33.3","27.6","6384"
"43","Andalucía","X2015","20807","1.4","19600","33.8","81.6","8","2585","31.5","96.9","35.7","28.3","6609"
"44","Andalucía","X2016","23763","1.41","19800","34.6","82.2","7.1","2584","28.9","96.9","35.4","29.1","6723"
"45","Andalucía","X2017","26566","1.36","20400","35.3","82.1","5.2","2610","25.5","96.9","31","29.6","7492"
"46","Aragón","X2009","529","1.35","26900","38.6","82.3","0.2","676","13.1","28.3","11.3","31.6","2371"
"47","Aragón","X2010","606","1.36","27000","40.1","82.6","2.4","704","15","28.3","14.2","33.3","2539"
"48","Aragón","X2011","751","1.34","26700","41.6","82.7","0.9","749","17.1","28.3","15.5","35","2663"
"49","Aragón","X2012","550","1.3","26400","41.8","83","2.5","752","18.7","28.3","14.5","35.1","2806"
"50","Aragón","X2013","458","1.3","26600","41.1","83.4","3.3","757","21.4","28.1","16.1","34.8","2865"
"51","Aragón","X2014","417","1.34","27500","41.6","83.2","4.2","767","20.2","28","16.9","35.7","2978"
"52","Aragón","X2015","424","1.35","28500","41.4","83","2.2","769","16.3","27.9","14.4","35.6","3027"
"53","Aragón","X2016","419","1.34","29200","42.5","83.8","2.9","788","14.7","27.8","15.7","36.3","3046"
"54","Aragón","X2017","437","1.33","30400","43.6","83.5","0.5","788","11.6","27.7","13.3","36.6","3109"
"55","Attiki","X2009","16216","1.4","31300","38.5","80.2","9.5",NA,"9.1","1051.3","12.8","28.3","1387"
"56","Attiki","X2010","15393","1.38","29300","39.6","80.5","9.5",NA,"12.6","1050.4","16.3","29.9","1380"
"57","Attiki","X2011","14427","1.33","26800","40.5","80.5","14.9",NA,"18","1043.1","18.3","31.8","1372"
"58","Attiki","X2012","12936","1.28","26000","41.9","80.6","19",NA,"25.8","1032.6","18.1","33.4","1316"
"59","Attiki","X2013","12534","1.23","26200","43.6","81.1","20.7",NA,"28.7","1019.5","20.1","35.2","1310"
"60","Attiki","X2014","15207","1.26","27000","44.1","81.1","20",NA,"27.3","1007.7","15.6","36.3","1369"
"61","Attiki","X2015","18105","1.3","27400","44.8","80.7","20.9",NA,"25.2","999","15.8","37","1347"
"62","Attiki","X2016","20020","1.36","26900","46.5","81","21",NA,"23","992.5","16.5","38","1337"
"63","Attiki","X2017","21730","1.34","27300","46.8","80.9","20.1",NA,"21.6","989.2","15.5","38.4","1354"
"64","Bratislavský kraj","X2009","1701","1.43","42800","53.2","77.1","7.1","110","4.6","290.6","6.5","31.9","188"
"65","Bratislavský kraj","X2010","1658","1.45","46300","56.6","77","9.3","110","6.2","291.8","5.1","33.6","187"
"66","Bratislavský kraj","X2011","1577","1.48","48400","57.8","77.8","11.8","114","5.8","293.9","7.2","37.9","193"
"67","Bratislavský kraj","X2012","1358","1.42","48800","57.1","78","12","114","5.7","296.9","6.3","37.4","225"
