geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Rég. Bruxelles / Brussels Gewest,56300,,57200,,55700,,53800,,56100,,56800,,57600,,56800,,56800,,59300,,58900,,58700,
Prov. Antwerpen,34700,,36100,,35700,,33700,,35800,,36600,,37800,,37700,,38900,,40700,,41100,,42100,
Prov. Limburg (BE),24000,,25100,,25100,,23200,,24700,,25700,,26400,,26300,,27500,,28200,,28200,,28900,
Prov. Oost-Vlaanderen,25800,,27200,,26800,,26200,,27700,,28300,,29200,,29300,,30100,,31800,,31900,,32400,
Prov. Vlaams-Brabant,30600,,31800,,31500,,31000,,32300,,32800,,34500,,34800,,35500,,37100,,37300,,37500,
Prov. West-Vlaanderen,27700,,29100,,28400,,27300,,29000,,29700,,30800,,31000,,32400,,33400,,33700,,34400,
Prov. Brabant Wallon,30300,,31700,,33000,,31300,,36400,,33700,,34300,,34700,,36600,,38800,,38800,,39500,
Prov. Hainaut,19200,,19800,,20000,,18800,,19800,,20500,,21000,,20800,,21300,,22000,,22000,,22400,
Prov. Liège,21400,,22100,,22200,,21300,,22300,,23100,,23600,,23500,,23900,,24600,,24700,,25200,
Prov. Luxembourg (BE),20300,,20500,,20200,,19300,,20300,,20700,,20900,,20700,,21000,,21900,,21700,,22000,
Prov. Namur,20500,,21100,,21300,,20600,,21900,,22100,,22600,,22500,,23100,,23600,,23700,,23900,
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Severozapaden,6400,,7000,,7300,,6700,,6900,,7400,,7700,,7600,,8300,,8400,,8600,,9300,
Severen tsentralen,6800,,7300,,7700,,7100,,7400,,8000,,8500,,8600,,9400,,9600,,9800,,10200,
Severoiztochen,8100,,8900,,9600,,8700,,9100,,9600,,10200,,10100,,10900,,11300,,11400,,11800,
Yugoiztochen,8100,,8500,,9200,,8800,,9100,,9500,,10200,,10300,,11000,,11400,,12500,,13000,
Yugozapaden,14500,,17100,,18600,,17800,,19200,,19700,,20000,,19700,,20700,,22100,,22900,,23700,
Yuzhen tsentralen,6900,,7500,,7700,,7400,,7900,,8300,,8700,,8600,,8800,,9700,,9900,,10400,
Praha,41900,,46700,,47700,,45000,,45500,,45800,,45900,,46700,,48400,,53300,,53600,,56200,
Strední Cechy,18500,,20200,,20500,,18900,,18700,,19600,,19900,,20000,,21900,,22800,,23800,,25100,
Jihozápad,18100,,19000,,18600,,18400,,18600,,19000,,19100,,20000,,21200,,22100,,22500,,23300,
Severozápad,15600,,16800,,16900,,16700,,16300,,16700,,16800,,16900,,17600,,18800,,18200,,19000,
Severovýchod,16400,,17700,,17800,,17000,,17300,,17900,,17900,,18300,,19600,,20800,,21300,,22600,
Jihovýchod,17100,,19000,,19500,,18800,,18900,,19700,,20300,,21200,,22400,,23600,,23600,,24400,
Strední Morava,15200,,16600,,17300,,16600,,16800,,17500,,17700,,18100,,19800,,20600,,21000,,22000,
Moravskoslezsko,16100,,17700,,18300,,17000,,17500,,18600,,18900,,18600,,20000,,21000,,21300,,22100,
Hovedstaden,37000,,38500,,39500,,37700,,41500,,41100,,42000,,43100,,45000,,48000,,47900,,49800,
Sjælland,22000,,22500,,21900,,20900,,22500,,22700,,23200,,23200,,23800,,25700,,25400,,26300,
Syddanmark,27300,,28800,,29200,,27700,,29400,,30300,,30400,,31100,,32100,,33400,,33200,,34300,
Midtjylland,28400,,29500,,29800,,28500,,29300,,30400,,30200,,30600,,31400,,32300,,33100,,34400,
Nordjylland,26500,,27900,,28000,,26700,,27700,,28100,,28600,,29000,,29500,,31000,,31200,,32800,
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Stuttgart,37000,,39800,,38600,,34700,,38900,,41300,,42400,,42600,,44600,(e),47400,(e),47000,(e),47800,(e)
Karlsruhe,33400,,35200,,35300,,32800,,35200,,36900,,37200,,37200,,38300,(e),40100,(e),40200,(e),40800,(e)
Freiburg,28000,,29500,,29700,,27100,,29300,,31100,,31600,,32000,,33800,(e),34900,(e),35000,(e),35600,(e)
Tübingen,30300,,32400,,32800,,29500,,32500,,34800,,35400,,35900,,37300,(e),38900,(e),39800,(e),40400,(e)
