Currency;City;3bedroomavgrent2010;2bedroomavgrent2010;1bedroomavgrent2010;housenondetachedavgrent2010;housedetachedavgrent2010
EUR;Vienna;1600;1190;900;1600;2600
EUR;Brussels;1250;990;750;1350;1750
BGN;Sofia;1600;940;670;-;2050
EUR;Sofia;820;480;340;-;1050
EUR;Nicosia;760;610;480;920;1380
CZK;Prague;30400;22800;17400;39800;55200
EUR;Prague;1200;890;680;1550;2150
DKK;Copenhagen;14000;9550;7100;15100;21700
EUR;Copenhagen;1900;1300;950;2050;2900
EEK;Tallinn;10100;7100;5400;11200;15300
EUR;Tallinn;650;450;350;720;980
EUR;Helsinki;1950;1250;1020;1940;2750
EUR;Paris;2350;1800;1000;2400;3150
EUR;Lyon;1150;890;620;1120;1650
EUR;Berlin;1200;900;690;1300;1900
EUR;Bonn;1100;810;630;1100;1600
EUR;Hamburg;1550;1150;850;1650;2500
EUR;Karlsruhe;980;760;580;1100;1650
EUR;Munich;1650;1240;960;1750;2600
EUR;Athens;1550;970;770;1800;2900
HUF;Budapest;405500;224000;128500;481500;779000
EUR;Budapest;1400;780;450;1700;2700
EUR;Dublin;1400;1150;900;1550;1800
EUR;Rome;1900;1500;1150;1800;2200
EUR;Varese;880;710;550;1250;1900
LVL;Riga;580;420;330;710;1050
EUR;Riga;820;590;470;1000;1500
LTL;Vilnius;2300;1700;1200;3150;4500
EUR;Vilnius;670;490;350;910;1300
EUR;Luxembourg;1800;1400;1050;2150;3000
EUR;Valletta;820;620;440;1130;2000
EUR;The Hague;1500;1150;870;1600;-
PLN;Warsaw;5650;4450;2600;5950;9050
EUR;Warsaw;1350;1070;630;1450;2200
EUR;Lisbon;1050;770;590;1300;1850
RON;Bucharest;5700;4150;2250;-;8100
EUR;Bucharest;1300;950;510;-;1850
EUR;Bratislava;1000;800;650;1330;1700
EUR;Ljubljana;1100;820;540;1250;1800
EUR;Madrid;1550;1100;830;1900;2650
SEK;Stockholm;19500;15400;10500;20400;25400
EUR;Stockholm;2050;1600;1100;2150;2650
GBP;London;2550;1950;1450;2900;3500
EUR;London;3150;2400;1800;3600;4300
GBP;Oxford;1100;930;740;1120;1450
EUR;Oxford;1350;1150;910;1400;1800
GBP;Reading;1200;900;700;950;1430
EUR;Reading;1500;1100;860;1170;1750
HRK;Zagreb;9000;6250;4450;10100;18000
EUR;Zagreb;1250;870;620;1400;2500
ISK;Reykjavik;138500;114000;80200;171500;201000
EUR;Reykjavik;880;730;510;1100;1300
NOK;Oslo;17800;14100;10500;20100;25400
EUR;Oslo;2250;1800;1350;2550;3200
RSD;Belgrade;140500;94720;66600;145750;275850
EUR;Belgrade;1350;910;640;1400;2650
CHF;Bern;2550;1800;1400;3100;3750
EUR;Bern;1900;1350;1050;2350;2850
CHF;Geneva;3850;3000;2050;5250;6600
EUR;Geneva;2900;2250;1550;3950;5000
TRY;Ankara;890;720;700;1200;2200
EUR;Ankara;460;370;360;620;1150
