Currency;City;1 bedroom avg rent 2015;2 bedroom avg rent 2015;3 bedroom avg rent 2015;house non detached avg rent 2015;house detached avg rent 2015
EUR;Vienna;1600;1150;870;1800;2600
EUR;Brussels;1250;1050;800;1350;1850
BGN;Sofia;1400;920;630;-;1850
EUR;Sofia;710;470;320;-;940
HRK;Zagreb;8350;5550;3700;9500;14800
EUR;Zagreb;1100;730;490;1250;1950
EUR;Nicosia;660;490;390;820;1200
CZK;Prague;34300;23700;17500;36100;52300
EUR;Prague;1250;870;640;1350;1900
DKK;Copenhagen;17400;11900;8800;18000;24400
EUR;Copenhagen;2350;1600;1200;2400;3250
EUR;Tallinn;1000;730;550;1150;1450
EUR;Helsinki;1850;1350;1050;2000;2850
EUR;Paris;2450;1850;1100;2500;3200
EUR;Lyon;1500;1050;670;1350;2000
EUR;Berlin;1450;1100;890;1450;2250
EUR;Bonn;1200;900;730;1250;1750
EUR;Hamburg;1500;1150;910;1550;2150
EUR;Karlsruhe;1150;890;730;1300;1700
EUR;Munich;1950;1500;1150;2050;3000
EUR;Athens;1250;790;590;1250;1800
HUF;Budapest;418000;268000;166000;493500;793000
EUR;Budapest;1350;850;530;1550;2500
EUR;Dublin;2050;1550;1200;2100;2450
EUR;Rome;1650;1200;950;1400;2250
EUR;Varese;930;710;520;1250;1850
EUR;Riga;1300;910;630;1300;1750
EUR;Vilnius;880;720;540;1150;1600
EUR;Luxembourg;2400;1750;1350;2950;3950
EUR;Valletta;1020;800;610;1350;2450
EUR;The Hague;1800;1400;1030;2150;3050
PLN;Warsaw;5300;4000;2450;6000;8900
EUR;Warsaw;1250;960;590;1450;2100
EUR;Lisbon;1150;860;660;1350;1700
RON;Bucharest;4350;3250;2100;-;8300
EUR;Bucharest;970;720;470;-;1850
EUR;Bratislava;1090;820;640;1250;2050
EUR;Ljubljana;1000;790;530;1200;1350
EUR;Madrid;1300;970;710;1650;2300
SEK;Stockholm;26400;19900;14700;24300;30700
EUR;Stockholm;2850;2150;1600;2650;3300
GBP;London;2850;2250;1650;3350;4300
EUR;London;4000;3200;2350;4750;6050
GBP;Oxford;1300;1050;860;1350;1800
EUR;Oxford;1850;1500;1200;1900;2550
GBP;Reading;1600;1130;880;1150;1750
EUR;Reading;2250;1600;1250;1600;2450
ALL;Tirana;97000;73100;52000;-;197000
EUR;Tirana;690;520;370;-;1400
BAM;Sarajevo;2050;1250;900;1950;2700
EUR;Sarajevo;1050;640;460;1000;1400
ISK;Reykjavik;207000;179500;142000;246500;310500
EUR;Reykjavik;1400;1200;960;1650;2100
MKD;Skopje;30200;19100;13600;-;72800
EUR;Skopje;490;310;220;-;1180
EUR;Podgorica;890;610;380;1050;1650
NOK;Oslo;21200;15800;13500;21600;30000
EUR;Oslo;2400;1800;1550;2450;3400
RSD;Belgrade;144500;107000;69800;186500;277000
EUR;Belgrade;1200;890;580;1550;2300
CHF;Bern;2450;1900;1600;3050;3600
EUR;Bern;2350;1850;1550;2950;3450
CHF;Geneva;3600;2850;2150;4150;5200
EUR;Geneva;3450;2750;2050;4000;5000
TRY;Ankara;1450;1150;1050;1950;3200
EUR;Ankara;490;390;350;650;1050
