Currency;City;3bedroomavgrent2017;2 bedroom avg rent 2017;1 bedroom avg rent 2017;house non detached avg rent 2017;house detached avg rent 2017
EUR;Vienna;1700;1300;980;1850;3400
EUR;Brussels;1250;1020;770;1350;1850
BGN;Sofia;1550;1100;740;-;2550
EUR;Sofia;800;560;380;-;1300
HRK;Zagreb;10000;6600;4650;9650;16300
EUR;Zagreb;1350;890;630;1300;2200
EUR;Nicosia;760;560;480;870;1450
CZK;Prague;39100;28300;21000;41100;61400
EUR;Prague;1500;1100;800;1550;2350
DKK;Copenhagen;17500;13200;10100;19100;24600
EUR;Copenhagen;2350;1800;1350;2550;3300
EUR;Tallinn;1100;800;560;1200;1750
EUR;Helsinki;2050;1450;1150;2000;3100
EUR;Paris;2600;1900;1150;2700;3400
EUR;Lyon;1400;1000;700;1600;2050
EUR;Berlin;1600;1200;960;1650;2350
EUR;Bonn;1250;940;760;1250;1800
EUR;Karlsruhe;1250;970;790;1400;1950
EUR;Munich;2050;1550;1250;2350;3650
EUR;Athens;1300;880;650;1400;2100
HUF;Budapest;517500;299500;205000;596500;934000
EUR;Budapest;1650;970;660;1900;3000
EUR;Dublin;2400;1900;1550;2350;2950
EUR;Rome;1550;1200;930;1450;2000
EUR;Varese;990;730;590;1250;1850
EUR;Riga;1100;830;590;1400;2000
EUR;Vilnius;940;730;570;1200;1750
EUR;Luxembourg;2350;1800;1400;3050;3900
EUR;Valletta;1300;990;760;1700;2700
EUR;The Hague;1850;1400;1030;2350;2950
PLN;Warsaw;6050;4300;2500;6000;8400
EUR;Warsaw;1400;1000;590;1400;2000
EUR;Lisbon;1650;1150;890;1800;2300
RON;Bucharest;4800;3550;2350;-;7800
EUR;Bucharest;1050;780;510;-;1700
EUR;Bratislava;1050;840;610;1250;2000
EUR;Ljubljana;1200;850;550;1250;1800
EUR;Madrid;1600;1130;890;2000;2750
SEK;Stockholm;29900;22300;15100;26500;35000
EUR;Stockholm;3100;2300;1550;2750;3600
GBP;London;2900;2000;1550;3500;4300
EUR;London;3300;2250;1750;4000;4900
GBP;Oxford;1300;1100;890;1300;1650
EUR;Oxford;1500;1250;1000;1500;1900
GBP;Reading;1500;1200;850;1250;1650
EUR;Reading;1700;1350;970;1400;1900
ALL;Tirana;88400;68600;46200;-;178000
EUR;Tirana;670;520;350;-;1350
BAM;Sarajevo;1450;1050;710;1700;2650
EUR;Sarajevo;740;540;360;870;1350
ISK;Reykjavik;238000;202000;158500;290000;339000
EUR;Reykjavik;2000;1700;1350;2450;2850
MKD;Skopje;33300;20400;14200;-;67900
EUR;Skopje;540;330;230;-;1100
EUR;Podgorica;980;630;370;1150;1550
NOK;Oslo;23700;18100;14800;24300;29800
EUR;Oslo;2500;1900;1550;2550;3100
RSD;Belgrade;145500;105500;77600;200000;285000
EUR;Belgrade;1200;870;640;1650;2350
CHF;Bern;2300;1850;1550;2750;3450
EUR;Bern;2100;1700;1400;2500;3150
CHF;Geneva;3600;2800;2100;4150;5200
EUR;Geneva;3300;2550;1900;3800;4750
TRY;Ankara;1850;1550;1450;2400;4550
EUR;Ankara;460;390;360;600;1150
