geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Belgium,5.7,,5.6,,5.2,,5.9,,5.7,,6.3,,5.1,,5.9,,5.8,,5.5,,5.1,,:,
Bulgaria,57.6,,41.2,,41.9,,45.7,,43.6,,44.1,,43,,33.1,(b),34.2,,31.9,(b),30,,20.9,
Severna i yugoiztochna Bulgaria,:,,47.4,,45.6,,49.8,,48.2,,47.9,,46.4,,36.6,(b),37.2,,35,(b),33,,23.8,
Severozapaden,:,,46.2,,43.6,,46.3,,45.4,,44.4,,45,,36,(b),35.7,,32.7,(b),32,,26,
Severen tsentralen,:,,51.3,,52.9,,55.2,,51.6,,47,,43.3,,35.8,(b),36.3,,35.2,(b),31.6,,20.8,
Severoiztochen,:,,45.1,,41.4,,48.1,,45.8,,46.7,,49.8,,39,(b),40.6,,37,(b),36.4,,24.3,
Yugoiztochen,:,,47.1,,45,,49.6,,49.8,,52.3,,46.7,,35.7,(b),35.9,,34.8,(b),31.7,,24.1,
Yugozapadna i yuzhna tsentralna Bulgaria,:,,34.6,,37.8,,41.4,,38.6,,40.2,,39.5,,29.4,(b),31.2,,28.8,(b),27,,17.9,
Yugozapaden,:,,30.8,,30.1,,33.9,,34.5,,35.8,,34.4,,24.9,(b),25,,23.2,(b),22.3,,14.2,
Yuzhen tsentralen,:,,39.7,,48.3,,51.8,,44.4,,46.5,,47,,36,(b),40.3,,37.1,(b),33.9,,23.6,
Czechia,7.4,,6.8,,6.1,,6.2,,6.1,,6.6,,6.6,,6.7,,5.6,,4.8,,3.7,,:,
Praha,4.1,,4.5,,4.6,,4.2,,3.7,,6,,5.1,,5.9,,5.1,,3.9,,3.8,,:,
Strední Cechy,6.6,,4.7,,3.8,,4.9,,2.9,,4.8,,4.3,,3.7,,4.1,,3.7,,2.6,,:,
Jihozápad,5.4,,5.3,,7.7,,7.2,,7.6,,5.5,,4.5,,3.4,,3.8,,2.2,,2.4,,:,
Severozápad,12.1,,12.2,,9.8,,9.3,,9.8,,11.6,,13.4,,13.5,,12.1,,9.8,,9.2,,:,
Severovýchod,7,,6.1,,4.9,,3.8,,6.1,,5.1,,4.9,,5.3,,2.3,,3.2,,1.5,,:,
Jihovýchod,5.8,,5.3,,4.4,,5,,3.7,,5.1,,4.9,,4.5,,3.8,,3.7,,2.5,,:,
Strední Morava,6.7,,6.9,,6.7,,6.1,,6.5,,7,,6.7,,7.7,,6,,3.4,,2.9,,:,
Moravskoslezsko,11.7,,10.5,,8.5,,10.2,,10.2,,9.3,,10.6,,11.9,,9.5,,9.8,,6.6,,:,
Denmark,3.3,,2,,2.3,,2.7,,2.3,,2.7,,3.6,,3.2,,3.7,,2.6,,3.1,,3.4,(p)
Hovedstaden,4.4,,2.7,,2.7,,2.9,,3.7,,3.2,,3.5,,3.3,,3,,3.2,,3.4,,3.3,(p)
Sjælland,3.9,,2.1,,1.4,,2.8,,3,,5.6,,4.8,,4,,2.8,,1.9,,3.6,,4.2,(p)
Syddanmark,2.4,,1.1,,2.9,,2.2,,1.4,,1,,2.7,,3.8,,3.5,,2.4,,3.2,,3.2,(p)
Midtjylland,3,,2.3,,2,,3.1,,2,,2,,4,,2.3,,5,,2.5,,2.9,,3.1,(p)
Nordjylland,1.8,,0.8,,1.3,,1.6,,0.3,,2.8,,3.4,,3.1,,3.9,,2.5,,1.9,,3.9,(p)
Germany,4.8,,5.5,,5.4,,4.5,,5.3,,4.9,,5.4,,5,,4.4,,3.7,,3.4,,:,
Estonia,5.6,,4.9,(b),6.2,,9,,8.7,,9.4,,7.6,,6.2,(b),4.5,,4.7,,4.1,,:,
Ireland,4.5,,5.5,,6.1,,5.7,,7.8,,9.8,,9.9,,8.4,,7.5,,6.7,,5.2,,:,
Northern and Western,:,,:,,:,,:,,:,,7.9,,9.3,,:,,:,,3.4,,2.5,,:,
Southern,:,,:,,:,,:,,:,,10,,9.3,,:,,:,,6.5,,5.1,,:,
Eastern and Midland,:,,:,,:,,:,,:,,10.4,,10.5,,:,,:,,8,,6.2,,:,
"Border, Midland and Western (NUTS 2013)",5.8,,4.9,,6.8,,7.9,,6.6,,:,,:,,:,,:,,:,,:,,:,
