geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Rég. Bruxelles / Brussels Gewest,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,:,
Prov. Antwerpen,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,220,,:,
Prov. Limburg (BE),106,,106,,106,,106,,106,,106,,106,,106,,106,,106,,106,,:,
Prov. Oost-Vlaanderen,196,,196,,196,,196,,196,,196,,196,,196,,196,,196,,196,,:,
Prov. Vlaams-Brabant,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,175,,:,
Prov. West-Vlaanderen,187,,187,,187,,187,,187,,187,,187,,187,,187,,187,,187,,:,
Prov. Brabant Wallon,63,,63,,63,,63,,63,,63,,63,,63,,63,,63,,63,,:,
Prov. Hainaut,284,,284,,284,,284,,284,,284,,284,,284,,284,,284,,284,,:,
Prov. Liège,266,,266,,266,,266,,266,,266,,266,,266,,266,,266,,266,,:,
Prov. Luxembourg (BE),154,,154,,154,,154,,154,,154,,154,,154,,154,,154,,154,,:,
Prov. Namur,103,,103,,103,,103,,103,,103,,103,,103,,103,,103,,103,,:,
Severozapaden,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,,7,
Severen tsentralen,0,,0,,0,,0,,0,,0,,0,,0,,:,,0,,0,,0,
Severoiztochen,84,,84,,84,,84,,84,,84,,84,,91,,91,,95,,95,,95,
Yugoiztochen,63,,87,,87,,87,,87,,87,,171,,203,,204,,223,,221,,222,
Yugozapaden,118,,118,,118,,118,,118,,139,,138,,163,,163,,215,,223,,216,
Yuzhen tsentralen,122,,122,,122,,122,,141,,141,,141,,141,,145,,194,,194,,194,
Praha,11,,11,,11,,11,,11,,11,,11,,11,,11,,11,,44,,44,
Strední Cechy,192,,195,,194,,194,,194,,194,,194,,194,,194,,194,,347,,351,
Jihozápad,118,,125,,125,,124,,125,,125,,125,,149,,149,,149,,157,,165,
Severozápad,52,,52,,53,,53,,53,,57,,57,,56,,56,,56,,128,,128,
Severovýchod,24,,24,,24,,26,,26,,26,,26,,26,,26,,26,,34,,39,
Jihovýchod,228,,228,,227,,227,,227,,227,,227,,227,,227,,227,,253,,253,
Strední Morava,8,,8,,29,,41,,46,,53,,53,,53,,53,,53,,160,,160,
Moravskoslezsko,0,,15,,28,,54,,54,,54,,60,,60,,60,,60,,100,,100,
Hovedstaden,:,,157,,157,,157,,157,,159,,160,,160,,159,,164,,164,,167,
Sjælland,:,,260,,260,,260,,260,,260,,260,,267,,267,,267,,267,,270,
Syddanmark,:,,321,,328,,329,,329,,336,,372,,377,,377,,377,,378,,379,
Midtjylland,:,,186,,197,,197,,197,,200,,215,,223,,241,,242,,259,,306,
Nordjylland,:,,187,,187,,187,,187,,187,,187,,187,,187,,187,,186,,186,
Stuttgart,:,,:,,388,,399,,:,,:,,:,,:,,:,,:,,:,,:,
Karlsruhe,:,,:,,266,,267,,:,,:,,:,,:,,:,,:,,:,,:,
Freiburg,:,,:,,279,,280,,:,,:,,:,,:,,:,,:,,:,,:,
Tübingen,:,,:,,106,,113,,:,,:,,:,,:,,:,,:,,:,,:,
Oberbayern,:,,:,,600,,597,,597,,:,,:,,:,,:,,:,,:,,:,
Niederbayern,:,,:,,235,,239,,239,,:,,:,,:,,:,,:,,:,,:,
Oberpfalz,:,,:,,336,,336,,337,,:,,:,,:,,:,,:,,:,,:,
Oberfranken,:,,:,,349,,349,,349,,:,,:,,:,,:,,:,,:,,:,
Mittelfranken,:,,:,,358,,356,,356,,:,,:,,:,,:,,:,,:,,:,
Unterfranken,:,,:,,353,,353,,353,,:,,:,,:,,:,,:,,:,,:,
Schwaben,:,,:,,259,,272,,272,,:,,:,,:,,:,,:,,:,,:,
Berlin,73,,73,,77,,77,,77,,77,,77,,77,,77,,77,,77,,77,
Brandenburg,790,,790,,795,,795,,795,,795,,794,,794,,794,,805,,805,,806,
Bremen,71,,71,,75,,75,,75,,75,,75,,75,,80,,80,,80,,80,
Hamburg,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,,81,
Darmstadt,:,,:,,480,,480,,480,,:,,:,,:,,:,,:,,:,,:,
Gießen,:,,:,,199,,199,,199,,:,,:,,:,,:,,:,,:,,:,
Kassel,:,,:,,293,,293,,293,,:,,:,,:,,:,,:,,:,,:,
Mecklenburg-Vorpommern,538,,538,,538,,552,,554,,554,,554,,554,,554,,568,,568,,578,
Braunschweig,:,,:,,274,,286,,:,,:,,:,,:,,:,,:,,:,,:,
Hannover,:,,:,,226,,226,,:,,:,,:,,:,,:,,:,,:,,:,
Lüneburg,:,,:,,299,,372,,:,,:,,:,,:,,:,,:,,:,,:,
Weser-Ems,:,,:,,547,,547,,:,,:,,:,,:,,:,,:,,:,,:,
Düsseldorf,:,,:,,638,,649,,649,,:,,:,,:,,:,,:,,:,,:,
Köln,:,,:,,557,,558,,558,,:,,:,,:,,:,,:,,:,,:,
Münster,:,,:,,356,,356,,356,,:,,:,,:,,:,,:,,:,,:,
Detmold,:,,:,,189,,190,,190,,:,,:,,:,,:,,:,,:,,:,
Arnsberg,:,,:,,447,,448,,448,,:,,:,,:,,:,,:,,:,,:,
Koblenz,:,,:,,257,,257,,258,,:,,:,,:,,:,,:,,:,,:,
Trier,:,,:,,184,,184,,187,,:,,:,,:,,:,,:,,:,,:,
Rheinhessen-Pfalz,:,,:,,431,,431,,431,,:,,:,,:,,:,,:,,:,,:,
Saarland,240,,240,,240,,240,,240,,240,,240,,240,,240,,240,,240,,240,
Dresden,216,,216,,216,,216,,216,,:,,:,,:,,:,,:,,:,,:,
Chemnitz,203,,203,,203,,203,,203,,:,,:,,:,,:,,:,,:,,:,
Leipzig,111,,111,,111,,111,,111,,:,,:,,:,,:,,:,,:,,:,
Sachsen-Anhalt,383,,383,,407,,407,,407,,407,,411,,411,,416,,416,,416,,416,
Schleswig-Holstein,498,,498,,510,,533,,533,,533,,536,,536,,538,,538,,544,,545,
Thüringen,463,,465,,482,,498,,498,,498,,498,,511,,510,,521,,521,,521,
Eesti,99,,96,,104,,100,,115,,115,,124,,140,,141,,147,,145,,154,
Northern and Western,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,83,
Southern,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,491,
Eastern and Midland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,343,
"Anatoliki Makedonia, Thraki",:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Kentriki Makedonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Dytiki Makedonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Ipeiros,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Thessalia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Ionia Nisia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Dytiki Ellada,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Sterea Ellada,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Peloponnisos,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Attiki,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Voreio Aigaio,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Notio Aigaio,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Kriti,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Galicia,761,,812,,907,,925,,961,,994,,995,,1015,,1031,,1080,,1105,,1105,
Principado de Asturias,307,,372,,389,,394,,394,,390,,408,,433,,454,,454,,453,,454,
Cantabria,205,,205,,214,,218,,218,,216,,227,,227,,227,,255,,255,,255,
País Vasco,435,,489,,510,,529,,535,,552,,533,,533,,474,,488,,496,,496,
Comunidad Foral de Navarra,321,,322,,345,,348,,356,,372,,372,,372,,372,,380,,380,,380,
La Rioja,144,,154,,159,,159,,159,,159,,165,,165,,176,,181,,181,,181,
Aragón,562,,604,,667,,676,,704,,749,,752,,757,,767,,769,,788,,788,
Comunidad de Madrid,762,,747,,751,,760,,753,,780,,771,,777,,783,,783,,771,,771,
Castilla y León,1712,,1797,,1995,,2158,,2194,,2195,,2207,,2253,,2267,,2350,,2355,,2357,
Castilla-la Mancha,1474,,1487,,1553,,1636,,1775,,1772,,1816,,1816,,1812,,1812,,1815,,1815,
Extremadura,545,,593,,640,,651,,668,,679,,694,,694,,700,,700,,703,,703,
Cataluña,1040,,1281,,1168,,1271,,1201,,1267,,1294,,1445,,1454,,1448,,1456,,1461,
Comunidad Valenciana,1036,,1137,,1091,,1091,,1116,,1131,,1138,,1142,,1142,,1141,,1183,,1186,
Illes Balears,94,,94,,94,,94,,94,,94,,94,,93,,94,,94,,94,,94,
Andalucía,2082,,2252,,2316,,2379,,2391,,2453,,2462,,2457,,2490,,2585,,2584,,2610,
