geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018
Rég. Bruxelles / Brussels Gewest,41,,40.4,(b),42.4,,42.1,,42.4,,42.7,,41.5,,43.5,(b),43.4,,44.1,,46.6,(b),47.5
Prov. Antwerpen,30.6,,32.2,(b),32,,35.2,,33.5,,35.3,,35.4,,38.1,(b),37.6,,34.9,,38.2,(b),40
Prov. Limburg (BE),27.8,,27.8,(b),28.6,,29.3,,28.8,,30.7,,28.7,,31.1,(b),32.1,,32.9,,35.4,(b),35.8
Prov. Oost-Vlaanderen,31.3,,31.5,(b),33.8,,34.7,,35.1,,34.9,,37.3,,36.7,(b),37.5,,39.6,,42.6,(b),42.8
Prov. Vlaams-Brabant,40.5,,40.8,(b),44.2,,44.6,,42.1,,43.6,,44.3,,45.8,(b),44.7,,47.3,,50.7,(b),48.7
Prov. West-Vlaanderen,28.5,,29.9,(b),29.5,,30.2,,31.6,,32.1,,32.8,,33,(b),32.8,,35.2,,37.4,(b),37.3
Prov. Brabant Wallon,47.6,,47,(b),48.6,,49.5,,55.7,,51.2,,51.2,,51.9,(b),54.1,,52.2,,57.1,(b),58.4
Prov. Hainaut,24.9,,24.5,(b),24,,28.8,,26.1,,27.2,,28,,28.1,(b),27.2,,30,,31.1,(b),31.4
Prov. Liège,30.5,,29,(b),30.4,,31.4,,32.3,,31.6,,31.9,,33.1,(b),33.9,,33.4,,35.6,(b),35.9
Prov. Luxembourg (BE),29.2,,30.9,(b),32.3,,32.2,,31,,33.8,,31.4,,35.1,(b),36.9,,35.1,,37.1,(b),38.8
Prov. Namur,30.4,,29.3,(b),31.5,,33.1,,33.2,,34.3,,33.5,,36.7,(b),35.3,,34.9,,40.2,(b),39.2
Severozapaden,17.4,,17.4,,17.1,,18.5,(b),18.2,,18.7,,19.4,,20.6,(b),21.5,,19.9,,19.9,,20.6
Severen tsentralen,19.3,,20.2,,20.5,,19.7,(b),20.1,,20.8,,22,,22.7,(b),23.5,,24.4,,23,,25.2
Severoiztochen,20.3,,20.5,,21.2,,21.5,(b),22.3,,22.5,,25.2,,27,(b),25.4,,25.5,,26.9,,25.3
Yugoiztochen,17.7,,17.3,,16.9,,17.4,(b),19.1,,19.6,,20.5,,20.9,(b),21.9,,21.8,,21.7,,21.5
Yugozapaden,33.2,,33.6,,33.7,,33.6,(b),32.8,,33,,35.1,,37.5,(b),38.6,,39.4,,39.2,,39.8
Yuzhen tsentralen,16.6,,17.5,,18.1,,19,(b),19.1,,19.3,,20.5,,21.4,(b),21.5,,21.5,,22.2,,22.7
Praha,27.7,,30.8,,30.3,,34.7,,37.5,(b),37.5,,38.4,,40.3,(b),40.5,,43.3,,45.6,,46.4
Strední Cechy,11,,12.7,,13.8,,15.3,,16.9,(b),18.6,,19.9,,21.7,(b),21.6,,21.4,,21.9,,23.6
Jihozápad,12.7,,12.7,,14.1,,14,,15.1,(b),17,,18,,17.6,(b),18.7,,19.1,,20,,20.1
Severozápad,7.3,,6.8,,8.4,,9,,9.9,(b),11.9,,12.5,,14.3,(b),13.4,,14.2,,14.3,,13.9
Severovýchod,11,,11.7,,12.8,,13.5,,14.8,(b),15,,16.8,,17.9,(b),18.2,,18.9,,20.3,,20.6
Jihovýchod,15.3,,15.4,,16.9,,17.6,,19.2,(b),20.8,,22.6,,23.3,(b),24.3,,25.6,,25.5,,25.8
Strední Morava,12.6,,13,,12.8,,13.6,,15.7,(b),15.9,,16.2,,18.7,(b),20.1,,19.1,,19.7,,19.5
Moravskoslezsko,11.7,,11.9,,14.1,,15.4,,15.4,(b),16.2,,17.6,,16.7,(b),18.8,,19.8,,21.6,,21.1
Hovedstaden,40.9,(b),41,,41.4,,43.1,,45.4,,46.2,,47,,48.1,(b),48.5,,49.8,(b),50.2,(b),51.5
Sjælland,26.4,(b),26.9,,27.3,,26.8,,27.3,,27.7,,28.8,,29,(b),29.8,,29.3,(b),31.5,(b),31.2
Syddanmark,25.5,(b),25.4,,26,,27.5,,27.5,,29.2,,28.6,,29.8,(b),30.7,,30.7,(b),32.7,(b),32.7
Midtjylland,28.8,(b),29.8,,31.1,,31.6,,30.1,,31.3,,33.5,,33.3,(b),34.6,,36.3,(b),36.9,(b),37.8
Nordjylland,23.5,(b),25.3,,29.2,,28.1,,28.1,,29.4,,27.8,,27.3,(b),29.3,,30.6,(b),31.7,(b),32.2
Stuttgart,26.3,,28.3,,30.3,,30.3,(b),30.8,,31.8,,32.5,,30.8,(b),32.4,,33.1,,32.6,,32.7
Karlsruhe,26.4,,27.3,,29.3,,29.1,(b),30.6,,31.1,,31,,29.9,(b),31.2,,32.2,,31.4,,31.2
Freiburg,25.3,,25.9,,27.2,,26.8,(b),27.9,,28.8,,29.7,,27,(b),27.7,,29,,28.9,,29.5
Tübingen,26,,27.4,,29.3,,29.8,(b),31.4,,32.5,,33.1,,30.5,(b),30.6,,30.8,,30.9,,30.6
Oberbayern,30.8,,32.4,,33.4,,34.2,(b),35.5,,36.4,,37,,37.1,(b),37.1,,38.4,,39.5,,40.6
Niederbayern,20.4,,20.5,,21.6,,22,(b),21.9,,22.9,,23.2,,21.1,(b),21.1,,21.9,,22.1,,21.5
Oberpfalz,19.8,,21.5,,21.7,,22.9,(b),23.9,,26.1,,26.7,,25.2,(b),25,,24.8,,24.4,,24.9
Oberfranken,21.1,,23.2,,25.2,,24.4,(b),26.3,,26.1,,26.1,,24.4,(b),23.5,,23.2,,24.8,,24.7
Mittelfranken,24.7,,26.4,,26.7,,27.5,(b),27.8,,29.1,,28.9,,27.8,(b),28.4,,29.4,,30.1,,30.7
Unterfranken,22.8,,24.7,,26.1,,27.9,(b),26.6,,27.9,,28.4,,25.7,(b),26.9,,27.2,,27.7,,27.4
Schwaben,21,,22,,24,,24.6,(b),26.2,,25.2,,26.2,,25.2,(b),25.6,,24.4,,25.9,,26.7
Berlin,34.5,,33.8,,35.4,,36,(b),36.8,,37.2,,36.9,,36.1,(b),36.6,,39.1,,40.5,,42.1
Brandenburg,29.7,,30.2,,30.9,,30.3,(b),30.4,,29.6,,30,,27.7,(b),27.7,,27.2,,26.9,,28.2
Bremen,22,,24.1,,23.8,,25.8,(b),28.5,,27.2,,26.5,,26.5,(b),26.2,,27.6,,28.4,,28.4
Hamburg,26.5,,27.6,,29.5,,30.4,(b),32.2,,31.2,,31.6,,33.6,(b),34.9,,36.4,,35.7,,36.9
Darmstadt,27,,27.7,,29,,30,(b),31,,32.2,,32.5,,32,(b),32.3,,33.3,,34.4,,33.9
Gießen,24.6,,24.5,,25.4,,26,(b),27,,29.2,,29.4,,25.8,(b),27.2,,28.1,,28.6,,27.5
Kassel,22,,23,,23,,23.4,(b),24.8,,24.6,,26.3,,22.5,(b),23.1,,24.1,,25.6,,25.4
Mecklenburg-Vorpommern,25,,26.6,,26.5,,27.1,(b),27.4,,26.7,,26.3,,24.1,(b),25.5,,25.8,,26.5,,25.5
Braunschweig,21.5,,21.7,,21.2,,22,(b),23.9,,25.2,,25.7,,25.3,(b),26.2,,25.1,,27.2,,28.5
Hannover,22,,22.7,,24.7,,26,(b),26.2,,26.6,,27,,25.2,(b),26,,25.4,,25.7,,27.4
Lüneburg,18,,19.1,,20.3,,21.3,(b),22.9,,22.8,,23.2,,21.6,(b),23,,22.5,,23.1,,23.5
Weser-Ems,18.5,,19.7,,21,,20.3,(b),21.3,,22.2,,22.3,,20.6,(b),20.8,,20,,20.6,,21.5
Düsseldorf,20.5,,21.9,,23.1,,23,(b),24.2,,24.9,,24.6,,23.8,(b),24.8,,26.5,,26.1,,25.9
Köln,25.9,,26.4,,27.5,,27.2,(b),27.9,,28.8,,29.3,,28.3,(b),28.5,,30.3,,30.3,,30.5
Münster,20,,20.7,,21.4,,21.8,(b),23.1,,23.3,,24.7,,22.7,(b),24.1,,24.5,,23.8,,24.4
Detmold,18.3,,20.1,,20.7,,20.3,(b),21.3,,23,,23.2,,21.7,(b),22,,23,,22.8,,23.5
Arnsberg,17.1,,18.7,,20.1,,19.7,(b),21,,21.7,,22.2,,20.9,(b),22,,22.7,,22.4,,22.7
Koblenz,18.7,,19.5,,19.6,,20.7,(b),22.5,,23.5,,22.7,,21.9,(b),22.2,,23.2,,24.3,,25.5
Trier,22.2,,23.2,,25.7,,24.3,(b),26.5,,27.6,,27.5,,25.7,(b),25.2,,26.1,,27.5,,28.4
Rheinhessen-Pfalz,23.6,,25.5,,25.3,,26.3,(b),27.5,,28,,28.7,,26.7,(b),27.8,,27.7,,27.1,,28.5
Saarland,15.3,,18.4,,19.7,,21.3,(b),21.8,,22.9,,22.6,,19.9,(b),19.7,,23,,23,,24.5
Dresden,33.6,,33.9,,33.8,,33.6,(b),33.9,,33.5,,34.1,,31,(b),31.1,,31.4,,31.5,,32.2
Chemnitz,29.3,,30.4,,29.3,,29,(b),28.7,,27.4,,29.7,,24.8,(b),25.8,,23.9,,24.2,,24.7
Leipzig,34.7,,34,,34.7,,35.3,(b),33.9,,34.6,,35.3,,30,(b),30.7,,31.3,,32.3,,32.9
Sachsen-Anhalt,23.1,,24.2,,24.6,,25,(b),25.4,,25.8,,25.7,,23.7,(b),23.4,,22.9,,22.2,,21.5
Schleswig-Holstein,20.2,,22.4,,22.8,,22.8,(b),24.4,,24.9,,24.8,,23.4,(b),23.8,,24.1,,24.2,,24.4
Thüringen,27,,28,,27.9,,28.2,(b),30.1,,30.5,,30,,27,(b),26.4,,26.9,,26.8,,28.3
Eesti,33.3,,34.2,,36.1,,35.5,,36.9,,37.6,,37.4,,37.6,(b),38.1,,38.9,,39.7,,41.2
Northern and Western,:,,:,,:,,:,,:,,36.7,,38.6,,38.4,(b),39.2,,39.9,,41.5,(b),41.2
Southern,:,,:,,:,,:,,:,,37.3,,39.1,,38.9,(b),40.3,,40.9,,42.6,(b),42.5
Eastern and Midland,:,,:,,:,,:,,:,,44.6,,46.4,,47.9,(b),49.2,,49.6,,50.7,(b),51.7
"Border, Midland and Western (NUTS 2013)",28.2,(b),30.9,,32.3,,34.5,,34.4,,:,,:,,:,,:,,:,,:,,:
Southern and Eastern (NUTS 2013),36.4,(b),37.7,,38.8,,40.2,,40.9,,:,,:,,:,,:,,:,,:,,:
"Anatoliki Makedonia, Thraki",17,,18,,19.3,(b),18.4,,18.5,,19.3,,19.5,,20.5,(b),22.6,,24.6,,25,,25.1
Kentriki Makedonia,22.7,,23.2,,24,(b),25.5,,26.6,,27.1,,27.1,,27.3,(b),29.1,,31.3,,31.1,,31.7
Dytiki Makedonia,16.9,,17.6,,17.3,(b),18.4,,19.1,,17.8,,20.1,,22.3,(b),21.9,,21.8,,24.5,,26
Ipeiros,19.5,,19.8,,19,(b),20.6,,23,,23.3,,25.6,,24.6,(b),25.8,,28.2,,30,,33.8
Thessalia,21.4,,22.7,,23.9,(b),23.9,,24.4,,23.8,,25.1,,26.3,(b),26.1,,25.6,,28.6,,32.1
Ionia Nisia,12.3,,13,,12.4,(b),14.9,,16.9,,14.7,,17,,17.7,(b),19.5,,20.8,,20.1,,22.8
Dytiki Ellada,19.4,,18,,18.2,(b),20.2,,20.9,,20.6,,21.6,,22.6,(b),22.9,,22.7,,23.8,,21.9
Sterea Ellada,13.9,,14.5,,15.4,(b),15.9,,17.3,,17.3,,18.3,,17.9,(b),19,,21.1,,23.3,,23.6
Peloponnisos,15.9,,16.9,,15,(b),15.5,,17.3,,17.7,,19.1,,19.3,(b),20.8,,21.4,,23,,23.8
Attiki,27.1,,28.1,,28.3,(b),29.9,,31.8,,33.4,,35.2,,36.3,(b),37,,38,,38.4,,39.3
Voreio Aigaio,17,,17.9,,18.3,(b),16.7,,18.6,,20.6,,27.4,,25.3,(b),22.9,,25.6,,24.2,,24.5
Notio Aigaio,12.1,,12.1,,11.7,(b),12.3,,15,,16.6,,17.2,,17.8,(b),19.1,,17.4,,20.4,,20.8
Kriti,21,,21,,19.6,(b),19.6,,20.6,,20.7,,21.6,,22,(b),24.1,,26.8,,27.9,,26.6
