geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Rég. Bruxelles / Brussels Gewest,170,,171,,180,,176,,182,,196,,274,,288,,292,,274,,282,,306,
Prov. Antwerpen,326,,331,,364,,369,,386,,367,,530,,552,,579,,704,,773,,889,
Prov. Limburg (BE),401,,417,,421,,438,,440,,435,,506,,524,,517,,698,,734,,761,
Prov. Oost-Vlaanderen,224,,251,,297,,306,,323,,320,,506,,536,,572,,766,,840,,948,
Prov. Vlaams-Brabant,167,,168,,187,,185,,196,,194,,291,,306,,334,,387,,412,,461,
Prov. West-Vlaanderen,794,,825,,834,,839,,848,,832,,1144,,1198,,1278,,1860,,1939,,2014,
Prov. Brabant Wallon,34,,32,,32,,32,,31,,30,,62,,62,,67,,102,,100,,103,
Prov. Hainaut,127,,121,,123,,120,,118,,121,,188,,181,,176,,341,,353,,366,
Prov. Liège,449,,442,,437,,424,,402,,397,,523,,514,,507,,997,,996,,990,
Prov. Luxembourg (BE),441,,432,,428,,410,,396,,393,,527,,513,,496,,1154,,1111,,1073,
Prov. Namur,251,,236,,233,,229,,224,,221,,337,,331,,321,,707,,670,,659,
Severozapaden,117,,128,,137,,148,,149,,156,,192,,205,,206,,197,,200,,192,
Severen tsentralen,129,,157,,170,,203,,206,,188,,244,,250,,263,,264,,257,,253,
Severoiztochen,520,,511,,505,,492,,483,,486,,528,,575,,596,,623,,663,,709,
Yugoiztochen,540,,556,,598,,605,,598,,665,,745,,819,,909,,924,,954,,953,
Yugozapaden,249,,322,,333,,394,,401,,392,,525,,548,,605,,607,,634,,606,
Yuzhen tsentralen,289,,344,,385,,408,,435,,434,,524,,556,,584,,587,,623,,633,
Praha,619,,654,,656,,653,,630,,622,,845,(b),856,,757,,797,,795,,787,
Strední Cechy,548,,566,,544,,529,,529,,577,,814,(b),805,,668,,669,,682,,667,
Jihozápad,1428,,1539,,1485,,1462,,1423,,1452,,1887,(b),1875,,1725,,1726,,1714,,1643,
Severozápad,813,,821,,808,,777,,714,,778,,1023,(b),1001,,885,,939,,946,,947,
Severovýchod,2179,,2225,,2169,,2152,,2025,,2087,,2507,(b),2466,,2235,,2288,,2290,,2250,
Jihovýchod,853,,860,,866,,861,,836,,931,,1385,(b),1377,,1268,,1258,,1243,,1237,
Strední Morava,711,,711,,709,,676,,673,,746,,968,(b),972,,906,,910,,926,,898,
Moravskoslezsko,465,,469,,468,,447,,405,,464,,628,(b),618,,569,,576,,572,,578,
Hovedstaden,217,,218,,222,,223,,226,,240,,242,,240,,243,,242,,249,,259,
Sjælland,151,,148,,141,,140,,142,,147,,145,,144,,144,,143,,146,,150,
Syddanmark,305,,305,,301,,298,,296,,308,,305,,305,,305,,306,,312,,315,
Midtjylland,212,,211,,210,,211,,218,,235,,230,,228,,233,,230,,236,,245,
Nordjylland,191,,193,,184,,184,,184,,189,,187,,185,,193,,192,,193,,198,
Stuttgart,1430,,1517,,1529,,1493,,1495,,1509,,1566,,1571,,1561,,1554,,1556,,1576,
Karlsruhe,1517,,1564,,1564,,1533,,1491,,1462,,1479,,1449,,1410,,1399,,1379,,1349,
Freiburg,2638,,2644,,2605,,2552,,2534,,2542,,2604,,2559,,2527,,2501,,2525,,2498,
Tübingen,1190,,1204,,1193,,1184,,1270,,1258,,1248,,1244,,1226,,1215,,1201,,1184,
Oberbayern,4705,,4587,,4551,,4435,,4376,,4285,,4120,,4056,,4064,,4021,,4050,,4013,
Niederbayern,2350,,2268,,2239,,2176,,2151,,2101,,2010,,1951,,1874,,1866,,1814,,1756,
Oberpfalz,1105,,1086,,1065,,1034,,1017,,1007,,968,,956,,925,,926,,908,,888,
Oberfranken,1095,,1051,,1031,,993,,994,,969,,954,,917,,885,,890,,876,,869,
Mittelfranken,1125,,1104,,1093,,1062,,1073,,1060,,1033,,1009,,988,,1004,,986,,961,
Unterfranken,1112,,1064,,1059,,1005,,1015,,983,,958,,935,,897,,933,,905,,907,
Schwaben,2707,,2637,,2620,,2576,,2535,,2462,,2370,,2337,,2281,,2293,,2300,,2343,
Berlin,583,,589,,656,,719,,748,,777,,791,,798,,809,,812,,788,,800,
Brandenburg,1621,,1563,,1570,,1560,,1586,,1650,,1616,,1621,,1600,,1613,,1611,,1608,
Bremen,95,,96,,103,,102,,113,,116,,:,,:,,119,,123,,123,,:,(c)
Hamburg,289,,289,,302,,307,,317,,316,,:,,341,,343,,353,,365,,385,
Darmstadt,1677,,1673,,1674,,1640,,1680,,1706,,1692,,1701,,1691,,1691,,1639,,1642,
Gießen,512,,511,,522,,502,,526,,509,,502,,493,,478,,498,,471,,482,
Kassel,1348,,1315,,1316,,1297,,1288,,1259,,1248,,1223,,1230,,1216,,1208,,1207,
Mecklenburg-Vorpommern,2770,,2791,,2846,,2889,,3016,,3049,,3015,,2987,,2852,,2824,,2767,,2795,
Braunschweig,1030,,979,,983,,1061,,1057,,1026,,1025,,976,,962,,985,,966,,951,
Hannover,799,,768,,863,,883,,935,,922,,939,,901,,873,,870,,863,,851,
Lüneburg,1352,,1311,,1360,,1346,,1332,,1344,,1358,,1306,,1275,,1263,,1236,,1258,
Weser-Ems,2726,,2614,,2697,,2651,,2622,,2552,,2597,,2469,,2404,,2369,,2553,,2554,
Düsseldorf,984,,991,,1057,,1032,,1037,,1078,,1116,,1091,,1085,,1069,,1044,,1025,
Köln,1325,,1302,,1289,,1246,,1266,,1291,,1324,,1324,,1383,,1356,,1318,,1281,
Münster,674,,681,,695,,670,,695,,691,,685,,675,,667,,673,,680,,658,
Detmold,909,,850,,847,,830,,837,,808,,805,,785,,775,,749,,736,,725,
Arnsberg,1385,,1352,,1328,,1277,,1287,,1282,,1269,,1287,,1279,,1260,,1224,,1197,
Koblenz,1718,,1677,,1655,,1612,,1623,,1638,,1537,,1533,,1489,,1471,,1449,,1439,
Trier,1051,,1036,,1014,,998,,1015,,1016,,969,,962,,962,,954,,937,,960,
Rheinhessen-Pfalz,1128,,1118,,1115,,1098,,1126,,1152,,1069,,1066,,1035,,1023,,1024,,1020,
Saarland,289,,280,,281,,264,,256,,269,,261,,268,,253,,237,,250,,:,(c)
Dresden,1033,,1015,,1060,,1057,,1084,,1099,,1075,,1062,,1053,,1044,,1024,,1014,
Chemnitz,850,,809,,802,,799,,798,,795,,767,,759,,748,,733,,718,,713,
Leipzig,308,,296,,307,,308,,312,,315,,308,,316,,318,,323,,317,,326,
Sachsen-Anhalt,1093,,1102,,1126,,1138,,1149,,1134,,1109,,1100,,1085,,1120,,1100,,1124,
Schleswig-Holstein,4791,,4617,,4518,,4485,,4507,,4378,,4246,,4190,,4229,,4057,,3946,,4013,
Thüringen,1445,,1403,,1394,,1365,,1369,,1354,,1321,,1316,,1290,,1284,,1295,,1287,
Eesti,951,,984,,1048,,1091,,1141,,1158,,1238,,1320,,1419,,1417,,1454,,1500,
"Border, Midland and Western (NUTS 2013)",2832,,2537,,2684,,2017,,1877,,1689,,2288,(b),1995,,1872,,1124,,1124,,:,
Southern and Eastern (NUTS 2013),6269,,6440,,6746,,6457,,6040,,5424,,5810,(b),5474,,4702,,2021,,2021,,:,
"Anatoliki Makedonia, Thraki",365,,385,,392,,1117,(e),1128,(e),1132,(e),1122,(e),1121,,1141,(e),1141,(e),1142,(e),1433,(e)
Kentriki Makedonia,1211,,1238,,1249,,5096,(e),5215,(e),4795,(e),4762,(e),4764,,4843,(e),4870,(e),4848,(e),4935,(e)
Dytiki Makedonia,:,,:,,:,,276,(e),269,(e),248,(e),241,(e),238,,248,(e),249,(e),243,(e),224,(e)
Ipeiros,291,,310,,338,,1423,(e),1541,(e),1597,(e),1599,(e),1611,,1678,(e),1734,(e),1786,(e),1667,(e)
Thessalia,572,,586,,601,,2514,(e),2441,(e),2280,(e),2253,(e),2253,,2272,(e),2269,(e),2272,(e),2291,(e)
Ionia Nisia,918,,924,,927,,3841,(e),3821,(e),3793,(e),3773,(e),3780,,3779,(e),3813,(e),3825,(e),4680,(e)
Dytiki Ellada,274,,275,,284,,508,(e),544,(e),526,(e),501,(e),506,,533,(e),534,(e),536,(e),512,(e)
Sterea Ellada,524,,528,,540,,1751,(e),1803,(e),1761,(e),1754,(e),1760,,1803,(e),1791,(e),1777,(e),1754,(e)
Peloponnisos,595,,619,,641,,1731,(e),1803,(e),1690,(e),1695,(e),1725,,1781,(e),1785,(e),1800,(e),1872,(e)
Attiki,699,,695,,704,,1387,(e),1380,(e),1372,(e),1316,(e),1310,,1369,(e),1347,(e),1337,(e),1354,(e)
Voreio Aigaio,394,,391,,:,,1523,(e),1474,(e),1397,(e),1368,(e),1368,,1375,(e),1377,(e),1372,(e),1401,(e)
Notio Aigaio,1962,,1948,,1971,,9048,(e),9108,(e),8999,(e),8955,(e),8993,,9046,(e),9112,(e),9056,(e),8845,(e)
Kriti,1537,,1525,,1538,,4507,(e),4635,(e),4253,(e),4201,(e),4228,,4654,(e),4659,(e),4671,(e),4751,(e)
Galicia,2520,,2486,,2586,,2679,,2663,,2837,,2879,,2949,,2961,,2942,,3033,,3031,
Principado de Asturias,2127,,2238,,2377,,2456,,2434,,2523,,2668,,2688,,2754,,2738,,2732,,2938,
Cantabria,1122,,1142,,1171,,1190,,1180,,1227,,1248,,1259,,1281,,1301,,1326,,1395,
País Vasco,741,,812,,825,,852,,1025,,1064,,1067,,1064,,1119,,1153,,1182,,1181,
Comunidad Foral de Navarra,904,,922,,996,,1050,,1090,,1346,,1379,,1407,,1421,,1420,,1397,,1639,
La Rioja,243,,277,,291,,309,,329,,350,,369,,388,,408,,418,,427,,438,
Aragón,1863,,2122,,2254,,2371,,2539,,2663,,2806,,2865,,2978,,3027,,3046,,3109,
Comunidad de Madrid,1491,,1528,,1568,,1625,,1652,,1697,,1734,,1747,,1756,,1789,,1781,,1794,
Castilla y León,4088,,4292,,4621,,4920,,5325,,5667,,5969,,6267,,6386,,6460,,6589,,6618,
Castilla-la Mancha,1954,,2091,,2275,,2531,,2697,,2987,,3187,,3216,,3338,,3401,,3459,,3563,
Extremadura,852,,872,,970,,1026,,1027,,1178,,1260,,1277,,1313,,1357,,1355,,1336,
Cataluña,4964,,5159,,5293,,5591,,5581,,5982,,6006,,6267,,6451,,6599,,6547,,6677,
Comunidad Valenciana,2670,,2799,,2889,,2991,,3081,,3157,,3293,,3254,,3439,,3422,,3507,,3675,
Illes Balears,2542,,2531,,2511,,2553,,2570,,2680,,2663,,2646,,2659,,2695,,2708,,2739,
Andalucía,4715,,4922,,5126,,5218,,5367,,5663,,5888,,6137,,6384,,6609,,6723,,7492,
Región de Murcia,605,,626,,634,,653,,656,,654,,693,,470,,478,,496,,504,,518,
Ciudad Autónoma de Ceuta (ES),:,,:,,:,,:,,15,,15,,15,,14,,14,,14,,13,,13,
Ciudad Autónoma de Melilla (ES),:,,:,,:,,:,,11,,11,,11,,11,,12,,12,,12,,12,
Canarias (ES),2771,,2679,,2591,,2714,,2711,,2696,,2591,,2562,,2537,,2475,,2360,,2350,
Île de France,2565,,2575,,2614,,2640,,2632,,2633,,2633,,2632,,2674,,2668,,2732,,2753,
Champagne-Ardenne (NUTS 2013),411,,409,,400,,406,,401,,404,,404,,409,,437,,446,,450,,:,
Picardie (NUTS 2013),444,,438,,453,,447,,439,,429,,429,,393,,440,,429,,444,,:,
Haute-Normandie (NUTS 2013),419,,421,,426,,419,,413,,410,,410,,399,,399,,424,,422,,:,
Centre (FR) (NUTS 2013),1009,,997,,1003,,989,,952,,948,,948,,938,,932,,947,,1002,,:,
Basse-Normandie (NUTS 2013),823,,814,,798,,790,,786,,777,,777,,760,,782,,827,,819,,:,
Bourgogne (NUTS 2013),841,,846,,835,,825,,805,,799,,799,,780,,789,,811,,839,,:,
Nord - Pas-de-Calais (NUTS 2013),806,,804,,798,,800,,768,,767,,767,,657,,697,,720,,735,,:,
Lorraine (NUTS 2013),642,,644,,639,,637,,626,,620,,620,,584,,602,,638,,631,,:,
Alsace (NUTS 2013),705,,704,,700,,694,,699,,698,,698,,692,,711,,740,,747,,:,
Franche-Comté (NUTS 2013),487,,491,,478,,486,,478,,473,,473,,461,,463,,492,,496,,:,
