geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Rég. Bruxelles / Brussels Gewest,17.1,,15.9,,15.7,,17.3,,16.9,(b),17.4,,19.2,,18.3,,17.3,,16.7,,14.8,(b),13.2,
Prov. Antwerpen,5,,4.6,,5.7,,6,,5.7,(b),5.3,,6.2,,6.1,,6.1,,6.1,,5.9,(b),4.3,
Prov. Limburg (BE),5.3,,4.4,,5.4,,5.3,,4.6,(b),4.7,,5.5,,5.6,,6,,4.8,,4.1,(b),3.8,
Prov. Oost-Vlaanderen,4.8,,3.6,,4.2,,5.2,,3.8,(b),4.1,,4,,4.3,,4.4,,4.2,,3.4,(b),2.7,
Prov. Vlaams-Brabant,3.4,,4.2,,4.9,,4.8,,3.5,(b),4.4,,5.5,,5,,5.1,,4.8,,4.7,(b),3.6,
Prov. West-Vlaanderen,3,,2.7,,4.3,,3.8,,3.2,(b),3.9,,3.9,,4.2,,4.2,,3.7,,3.2,(b),2.6,
Prov. Brabant Wallon,7,,6.5,,6.9,,8.3,,6.7,(b),7,,8.2,,8.8,,7.8,,7.9,,7.5,(b),6.9,
Prov. Hainaut,12.8,,11.6,,13.2,,13.9,,11.7,(b),12.1,,13.2,,14.4,,13.3,,11.8,,11.4,(b),9.9,
Prov. Liège,10.9,,10.5,,12.1,,11.5,,9.5,(b),10.7,,11.7,,12.3,,12.8,,11.1,,10.5,(b),8.2,
Prov. Luxembourg (BE),6.8,,7.7,,7.4,,7.5,,6.2,(b),7.6,,7.9,,8.5,,9.3,,7.8,,6.7,(b),5.4,
Prov. Namur,8.5,,8.8,,9.4,,9.6,,8,(b),7.3,,10.4,,8.9,,10.9,,9.7,,7.4,(b),8.5,
Severozapaden,9,,7.1,(b),8,,11.2,(b),12.8,(b),12.3,,14,,14.2,,12.1,,10.6,,11.3,,11.2,
Severen tsentralen,10.7,,8.5,(b),8.4,,11.6,(b),12.8,(b),14.3,,15.3,,13.2,,10.6,,9.3,,6.9,,6.7,
Severoiztochen,10.8,,8.6,(b),10.4,,14.6,(b),15.4,(b),18.2,,16.8,,12.6,,10.3,,9.7,,9.4,,7.4,
Yugoiztochen,6.5,,5.8,(b),6.6,,10.5,(b),11.5,(b),11.9,,13,,11.9,,10.4,,7.9,,7,,5.4,
Yugozapaden,3.9,,2.9,(b),4.1,,6.9,(b),7.5,(b),8.2,,9.8,,8.9,,6.7,,5.4,,3.3,,2.6,
Yuzhen tsentralen,5.6,,5.1,(b),7.3,,11.5,(b),12.9,(b),13.8,,13.5,,12,,9.2,,7.1,,5.2,,4.2,
Praha,2.4,,1.9,,3.1,,3.7,,3.6,(b),3.1,,3.1,,2.5,,2.8,,2.2,,1.7,,1.3,
Strední Cechy,3.4,,2.6,,4.4,,5.2,,5.1,(b),4.6,,5.2,,5.1,,3.5,,3.1,,2.1,,2,
Jihozápad,3.5,,3.1,,5.2,,5.6,,5.3,(b),5.3,,5.2,,5.5,,3.9,,3.1,,2.1,,1.5,
Severozápad,9.5,,7.8,,10.3,,11.1,,9.5,(b),10.7,,9.6,,8.7,,7.3,,5.2,,3.4,,3.4,
Severovýchod,4.8,,4,,7.3,,7,,6.6,(b),8,,8.3,,6.3,,5.2,,4,,2.8,,2,
Jihovýchod,5.2,,4,,6.5,,7.5,,7.2,(b),7.6,,6.8,,5.9,,4.9,,3.7,,3.1,,2.3,
Strední Morava,5.9,,4.9,,7.5,,8.8,,7.6,(b),7.5,,8,,6.9,,5.3,,3.9,,3.3,,2.2,
Moravskoslezsko,8.5,,7.4,,9.7,,10.2,,9.3,(b),9.5,,9.9,,8.6,,8.1,,6.9,,4.7,,3.7,
