Currency;City;3 bedroom avg rent;2 bedroom avg rent;1 bedroom avg rent;house non detached avg rent;house detached avg rent
EUR;Vienna;1450;1050;820;2800;1700
EUR;Brussels;1150;920;680;1800;1230
BGN;Sofia;2150;1300;840;2950;-
EUR;Sofia;1100;660;430;1500;-
CYP;Nicosia;400;340;270;950;590
EUR;Nicosia;690;580;460;1650;1000
CZK;Prague;40400;29200;20000;63800;41100
EUR;Prague;1400;1000;700;2200;1450
DKK;Copenhagen;14300;9600;6400;20800;16500
EUR;Copenhagen;1900;1300;860;2800;2200
EEK;Tallinn;16900;12500;8550;26200;19700
EUR;Tallinn;1100;800;550;1650;1250
EUR;Helsinki;1450;1080;840;2300;1850
EUR;Paris;2200;1650;960;2900;2100
EUR;Lyon;1050;850;560;1550;1100
EUR;Berlin;1150;840;640;1850;1250
EUR;Bonn;1030;750;580;1600;1100
EUR;Hamburg;1400;1050;750;2000;1450
EUR;Karlsruhe;890;700;550;1550;1080
EUR;Munich;1400;1000;790;2150;1500
EUR;Athens;1650;1000;760;2800;1900
HUF;Budapest;420000;252000;140000;252000;420000
EUR;Budapest;1700;1050;570;2850;1700
EUR;Dublin;1800;1450;1120;2100;1700
EUR;Rome;2200;1600;1250;2500;1900
EUR;Varese;910;730;580;1950;1300
LVL;Riga;1000;750;550;1900;1250
EUR;Riga;1450;1100;790;2750;1800
LTL;Vilnius;3400;2550;1750;7300;4550
EUR;Vilnius;990;740;510;2100;1300
MTL;Valetta;340;230;150;740;440
EUR;Valetta;790;540;350;1700;1050
EUR;The  Hague;1900;1400;1000;2650;1950
PLN;Warsaw;6000;4350;2350;10200;6900
EUR;Warsaw;1600;1150;630;2700;1850
EUR;Lisbon;1050;820;610;1900;1350
RON;Bucharest;4500;3600;2000;8250;-
EUR;Bucharest;1450;1150;640;2650;-
SKK;Bratislava;40300;30200;19500;45300;65400
EUR;Bratislava;1200;900;580;1350;1950
EUR;Ljubljana;1400;980;560;1400;1950
EUR;Madrid;1550;1150;860;2050;3100
SEK;Stockholm;18600;14700;10800;15700;20200
EUR;Stockholm;2000;1600;1150;1700;2200
GBP;London;2100;1600;1250;2700;3400
EUR;London;3100;2350;1850;4000;5050
GBP;Oxford;1100;860;680;990;1400
EUR;Oxford;1650;1250;1000;1450;2050
GBP;Reading;1000;830;640;870;1300
EUR;Reading;1500;1250;950;1300;1900
ISK;Reykjavik;127500;105000;77800;150000;185000
EUR;Reykjavik;1500;1250;930;1800;2200
NOK;Oslo;16300;12900;9550;17100;23900
EUR;Oslo;2050;1600;1200;2150;3000
CHF;Bern;2400;1950;1500;3200;3700
EUR;Bern;1450;1200;910;1950;2250
CHF;Geneva;3600;2700;1950;4950;6300
EUR;Geneva;2200;1650;1200;3000;3800
TRY;Ankara;1300;830;820;1700;2650
EUR;Ankara;730;470;460;960;1500
