Currency;City;3bedroomavgrent2013;2bedroomavgrent2013;1bedroomavgrent2013;housenondetachedavgrent2013;housedetachedavgrent2013
EUR;Vienna;1550;1150;920;2000;2800
EUR;Brussels;1300;1050;820;1400;1850
BGN;Sofia;1050;740;530;-;1700
EUR;Sofia;540;380;270;-;870
HRK;Zagreb;7850;5950;4050;7850;15650
EUR;Zagreb;1050;800;540;1050;2100
EUR;Nicosia;670;540;430;850;1300
CZK;Prague;31900;22300;17000;34900;49500
EUR;Prague;1250;860;660;1350;1900
DKK;Copenhagen;14800;9850;7700;16300;22500
EUR;Copenhagen;2000;1300;1050;2200;3000
EUR;Tallinn;950;640;470;980;1250
EUR;Helsinki;1850;1400;1050;2200;2950
EUR;Paris;2450;1850;1150;2300;3150
EUR;Lyon;1300;940;630;1200;1750
EUR;Berlin;1350;1000;790;1350;2100
EUR;Bonn;1200;890;720;1200;1750
EUR;Hamburg;1600;1200;970;1750;2550
EUR;Karlsruhe;1100;820;670;1250;1800
EUR;Munich;1900;1450;1150;2000;3100
EUR;Athens;1100;760;560;1350;1900
HUF;Budapest;350500;218000;134500;401000;771500
EUR;Budapest;1200;740;460;1350;2600
EUR;Dublin;1700;1300;1000;1600;2100
EUR;Rome;1600;1250;970;1550;2100
EUR;Varese;870;670;520;1150;1900
LVL;Riga;900;630;470;1050;1550
EUR;Riga;1300;900;670;1500;2200
LTL;Vilnius;2900;2200;1700;3200;4700
EUR;Vilnius;840;640;490;930;1350
EUR;Luxembourg;2000;1500;1100;2250;3050
EUR;Valletta;900;640;460;1150;1700
EUR;The Hague;1750;1350;1050;2050;2900
PLN;Warsaw;5300;4100;2500;5750;8600
EUR;Warsaw;1250;950;580;1350;2000
EUR;Lisbon;920;690;550;1100;1800
RON;Bucharest;5050;3500;2050;-;6250
EUR;Bucharest;1130;790;460;-;1400
EUR;Bratislava;1050;860;630;1250;1950
EUR;Ljubljana;940;760;520;1050;1450
EUR;Madrid;1300;960;740;1600;2400
SEK;Stockholm;23000;17900;14200;21500;28500
EUR;Stockholm;2650;2050;1600;2450;3250
GBP;London;2900;2150;1650;3250;4500
EUR;London;3400;2500;1950;3800;5300
GBP;Oxford;1200;1000;790;1200;1650
EUR;Oxford;1400;1150;930;1400;1950
GBP;Reading;1350;1000;720;1000;1550
EUR;Reading;1600;1150;840;1150;1800
EUR;Podgorica;990;720;420;1000;1550
NOK;Oslo;21400;16700;13500;20700;29200
EUR;Oslo;2700;2100;1700;2650;3700
RSD;Belgrade;143000;103000;68700;194500;246000
EUR;Belgrade;1250;900;600;1700;2150
CHF;Bern;2500;1900;1500;2700;3350
EUR;Bern;2050;1550;1200;2200;2700
CHF;Geneva;3850;2950;2200;4900;6400
EUR;Geneva;3100;2400;1800;4000;5200
TRY;Ankara;1250;970;920;1700;2900
EUR;Ankara;500;390;370;680;1150
