Currency;City;3 bedroom avg rent 2016;2 bedroom avg rent 2016;1 bedroom avg rent 2016;house non detached avg rent 2016;house detached avg rent 2016
EUR;Vienna;1600;1150;900;1750;3250
EUR;Brussels;1300;1000;820;1450;1900
BGN;Sofia;1650;1100;780;-;2350
EUR;Sofia;840;560;400;-;1200
HRK;Zagreb;9050;6000;4300;10150;15800
EUR;Zagreb;1200;800;570;1350;2100
EUR;Nicosia;680;530;450;860;1350
CZK;Prague;35800;24900;18500;35400;53100
EUR;Prague;1300;920;680;1300;1950
DKK;Copenhagen;18200;12400;8850;17900;23800
EUR;Copenhagen;2450;1650;1200;2400;3200
EUR;Tallinn;1050;760;540;1100;1650
EUR;Helsinki;2000;1400;1050;2100;3000
EUR;Paris;2450;1850;1100;2650;3400
EUR;Lyon;1450;1000;680;1450;2000
EUR;Berlin;1600;1150;930;1600;2400
EUR;Bonn;1250;920;750;1350;1850
EUR;Hamburg;1550;1150;950;1600;2250
EUR;Karlsruhe;1250;940;770;1400;1900
EUR;Munich;2000;1500;1150;2100;3150
EUR;Athens;1300;790;620;1250;1850
HUF;Budapest;504500;295000;187500;569500;939000
EUR;Budapest;1600;930;590;1800;2950
EUR;Dublin;2200;1700;1400;2150;2750
EUR;Rome;1600;1200;950;1600;2300
EUR;Varese;960;690;550;1250;1850
EUR;Riga;1080;850;600;1180;1700
EUR;Vilnius;920;730;600;1150;1750
EUR;Luxembourg;2650;2050;1500;3300;4200
EUR;Valletta;1250;950;680;1500;2550
EUR;The Hague;1850;1450;1020;2300;3300
PLN;Warsaw;6150;4200;2450;5900;8450
EUR;Warsaw;1400;950;550;1350;1900
EUR;Lisbon;1350;1000;770;1400;1800
RON;Bucharest;4400;3250;2100;-;7250
EUR;Bucharest;970;720;460;-;1600
EUR;Bratislava;1110;840;620;1300;2000
EUR;Ljubljana;1150;900;530;1200;1550
EUR;Madrid;1350;1000;800;1700;2500
SEK;Stockholm;30000;22700;15400;24900;31500
EUR;Stockholm;3200;2400;1650;2650;3350
GBP;London;2850;2150;1700;3400;4350
EUR;London;3450;2600;2050;4100;5250
GBP;Oxford;1350;1050;880;1300;1700
EUR;Oxford;1650;1250;1050;1600;2050
GBP;Reading;1700;1200;870;1250;1950
EUR;Reading;2050;1450;1050;1500;2350
ALL;Tirana;0;0;45500;-;200000
EUR;Tirana;0;0;330;-;1450
BAM;Sarajevo;0;0;830;1450;2800
EUR;Sarajevo;0;0;420;740;1450
ISK;Reykjavik;0;0;161500;285500;349000
EUR;Reykjavik;0;0;1150;2050;2550
MKD;Skopje;0;0;13600;-;71000
EUR;Skopje;0;0;220;-;1150
EUR;Podgorica;0;0;390;1150;1600
NOK;Oslo;0;0;13500;22300;27500
EUR;Oslo;0;0;1450;2400;2950
RSD;Belgrade;0;0;71900;173500;266500
EUR;Belgrade;0;0;580;1400;2150
CHF;Bern;0;0;1650;2950;3700
EUR;Bern;0;0;1500;2700;3400
CHF;Geneva;0;0;2050;4350;5350
EUR;Geneva;0;0;1900;4000;4950
TRY;Ankara;0;0;1300;2150;3650
EUR;Ankara;0;0;400;670;1150
