geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018
Rég. Bruxelles / Brussels Gewest,51.2,,50.5,(b),52.2,,51.8,,52.9,(b),52.7,,51.7,,53.6,(b),53.1,,54.1,,57.3,(b),58.9
Prov. Antwerpen,42.3,,44.7,(b),44.9,,46.4,,46.9,(b),49,,48.8,,52.8,(b),49.6,,47.9,,51.5,(b),52.1
Prov. Limburg (BE),42,,41.1,(b),42.4,,43,,44,(b),46.6,,43.5,,44.9,(b),47.1,,46.3,,47.8,(b),47.3
Prov. Oost-Vlaanderen,45.2,,45.2,(b),47.3,,48,,49.1,(b),48.8,,50,,48.8,(b),49.9,,51.2,,54.9,(b),54.2
Prov. Vlaams-Brabant,53.7,,53.4,(b),56,,57,,55.2,(b),56.1,,54.8,,56.6,(b),56.3,,58.3,,61.9,(b),59.1
Prov. West-Vlaanderen,41.3,,43.4,(b),42.7,,41.7,,44.3,(b),43.6,,42.8,,44.6,(b),43.3,,45.8,,48.5,(b),47.9
Prov. Brabant Wallon,60.1,,58.1,(b),61,,61,,66.8,(b),62.8,,61.7,,61.5,(b),62.8,,61.8,,66.2,(b),66.6
Prov. Hainaut,39.2,,40.4,(b),39.5,,42.4,,39.4,(b),41.3,,41.8,,41.4,(b),41,,42.7,,45.3,(b),45.9
Prov. Liège,44,,41.7,(b),45,,44.5,,45.1,(b),45.1,,44.3,,46.5,(b),45.7,,46.3,,48.2,(b),49.3
Prov. Luxembourg (BE),41.5,,42.4,(b),43.9,,44.7,,42.9,(b),44.4,,41.7,,46.7,(b),48.2,,46.1,,46.5,(b),49.5
Prov. Namur,44.2,,42.3,(b),44.8,,47,,47.4,(b),48.3,,46.4,,48.8,(b),47.4,,47.9,,53.8,(b),52.5
Severozapaden,24.8,,24.7,(b),24.7,,26.5,(b),26.5,(b),27,,27,,29.5,(b),31.5,,30.2,,28.9,,29.4
Severen tsentralen,26.2,,27.6,(b),29.2,,27.8,(b),28.1,(b),29.5,,30,,30.1,(b),30.4,,31.9,,30.3,,32.6
Severoiztochen,25.4,,25.9,(b),27.9,,27.6,(b),28.9,(b),28.7,,31.4,,33.5,(b),32.4,,32.7,,32.6,,31.3
Yugoiztochen,23.9,,23.8,(b),23.1,,24,(b),26.9,(b),27.9,,27.7,,27.7,(b),28.9,,29.5,,29.5,,30.3
Yugozapaden,40.4,,41.3,(b),41.2,,41,(b),40.3,(b),40,,42.5,,44.8,(b),46.8,,47.8,,47.5,,47.6
Yuzhen tsentralen,23.5,,23.9,(b),25,,25,(b),26.1,(b),25.7,,27,,28.3,(b),28.9,,28.8,,29,,29.5
Praha,57.5,,59.8,,57.1,,59.1,(b),57,(b),58.2,,57.7,,57.3,(b),55.8,,58.5,,60.2,,60.4
Strední Cechy,31.9,,34.4,,36.2,,35.4,(b),34.4,(b),36.7,,36.6,,37.3,(b),37.1,,36.6,,38,,40
Jihozápad,32.4,,34.2,,35.2,,33.1,(b),31.3,(b),32.6,,34,,33.2,(b),32.6,,33.2,,34.1,,33.9
Severozápad,28,,27.4,,27.7,,28.2,(b),26.4,(b),27.1,,27.8,,28.9,(b),28.5,,28.9,,29.3,,29.7
Severovýchod,31.8,,32.4,,32.4,,33.6,(b),31.1,(b),30.9,,32.4,,33.9,(b),33.4,,34.5,,35.4,,35.7
Jihovýchod,35.2,,37.2,,39.1,,36,(b),35.3,(b),35.5,,36.9,,38.4,(b),39.4,,39.5,,39.3,,39.8
Strední Morava,30.7,,31.6,,32.8,,32.2,(b),30.9,(b),30.4,,29.7,,31.8,(b),33.2,,33.6,,33.3,,33.8
Moravskoslezsko,31.7,,31.2,,33.5,,34.1,(b),31.3,(b),30.7,,32.2,,32.4,(b),33.2,,34.2,,37.2,,36.3
Hovedstaden,53.3,(b),54.6,,53.6,,55.4,,56.4,(b),57.5,,57.7,,58.4,(b),59.1,,58.5,(b),59.4,(b),61.4
Sjælland,39,(b),40.9,,40.9,,40.2,,40.8,(b),42.3,,43.2,,42.9,(b),42.9,,42.3,(b),45.4,(b),45.4
Syddanmark,35.9,(b),36.8,,37.1,,38.7,,38.6,(b),40.2,,41.1,,42,(b),42,,41.2,(b),44.1,(b),44
