geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017
Rég. Bruxelles / Brussels Gewest,79.2,,80,,79.6,,79.9,,80.2,,80.8,,80.1,,80.6,,81.1,,80.9,,81.3,,81.2
Prov. Antwerpen,80.2,,80.8,,80.6,,80.9,,81.1,,81.6,,81.1,,81.5,,82.2,,82,,82.4,,82.4
Prov. Limburg (BE),80.6,,81,,80.9,,81.2,,81.5,,81.7,,81.6,,82.1,,82.7,,82.5,,82.9,,83.1
Prov. Oost-Vlaanderen,79.7,,80,,80.2,,80.4,,80.8,,81,,80.9,,81.1,,82.1,,81.5,,82.2,,82.2
Prov. Vlaams-Brabant,81,,81.3,,81.3,,81.5,,81.7,,82.1,,81.9,,82,,82.6,,82.5,,82.9,,83
Prov. West-Vlaanderen,80.5,,80.8,,80.6,,80.9,,81.1,,81.6,,81.6,,81.5,,82.3,,82,,82.7,,82.4
Prov. Brabant Wallon,80.3,,80.7,,80.1,,80.9,,81.1,,81.3,,81,,82,,81.7,,81.7,,82.4,,82.1
Prov. Hainaut,77.3,,77.5,,77.5,,77.8,,78,,78.2,,78.2,,78.3,,78.9,,78.6,,78.8,,79.4
Prov. Liège,78.3,,78.4,,78.6,,78.8,,78.9,,79,,79.2,,79.4,,79.9,,79.4,,80,,79.9
Prov. Luxembourg (BE),77.9,,78.6,,78.1,,78.8,,78.9,,79.4,,79.4,,79.2,,80.5,,80.1,,79.9,,80.3
Prov. Namur,78.1,,78.6,,78.1,,78.7,,78.8,,79.2,,78.7,,78.7,,79.4,,79.3,,79.7,,79.7
Severozapaden,71.9,,72.1,,72.6,,72.9,,72.7,,73,,72.9,,73.7,,73,,73.5,,73.3,,73.5
Severen tsentralen,72.5,,72.7,,73.2,,73.2,,73.3,,73.7,,73.8,,74.3,,74,,74.1,,74.4,,74.2
Severoiztochen,72,,72.7,,72.5,,73.2,,73.1,,73.9,,74,,74.6,,74.4,,74.4,,74.8,,74.7
Yugoiztochen,71.9,,72.2,,72.5,,72.9,,72.6,,73.4,,73.9,,74.5,,74,,74.3,,74.4,,74.3
Yugozapaden,73.5,,73.8,,74.3,,74.5,,75,,75.2,,75.3,,75.7,,75.3,,75.6,,75.7,,75.7
Yuzhen tsentralen,73.2,,73.5,,73.7,,74.3,,74.5,,74.6,,74.9,,75.4,,75.1,,74.8,,75.3,,75.2
Praha,78.3,,78.6,,78.8,,79.1,,79.3,,79.7,,79.7,,80.1,,80.3,,80.3,,80.6,,80.8
Strední Cechy,76.6,,76.8,,77.1,,77.2,,77.7,,77.9,,78,,78.2,,79,,78.8,,79.2,,79.1
Jihozápad,76.9,,77.4,,77.3,,77.6,,77.9,,78.1,,78.3,,78.4,,79.1,,78.5,,79.3,,79.2
Severozápad,75,,75.3,,75.6,,75.6,,75.8,,76.3,,76.5,,76.4,,77,,76.9,,77.2,,77.1
Severovýchod,77,,77.2,,77.7,,77.9,,78.1,,78.2,,78.3,,78.6,,79.3,,79.1,,79.6,,79.5
Jihovýchod,77.3,,77.5,,78.2,,78.1,,78.5,,78.8,,78.8,,79.1,,79.7,,79.5,,79.9,,79.7
Strední Morava,76.9,,77,,77.3,,77.2,,77.6,,77.9,,78.2,,78.1,,78.9,,78.6,,78.9,,78.9
Moravskoslezsko,75.7,,76,,76,,76.2,,76.4,,76.5,,77,,77.1,,77.6,,77.5,,78,,77.8
Hovedstaden,:,,78.2,,78.5,,78.9,,78.9,,79.6,,80,,80.2,,80.7,,80.6,,80.8,,81
Sjælland,:,,77.6,,78,,78.3,,78.5,,78.9,,79.5,,79.7,,80,,80.2,,80.2,,80.2
