geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Belgium,15.2,,14.7,,14.6,,14.6,,15.3,,15.3,,15.1,,15.5,,14.9,,15.5,,15.9,,:,
Bulgaria,22,,21.4,,21.8,,20.7,,22.2,,21.2,,21,,21.8,,22,,22.9,(b),23.4,,22,
Severna i yugoiztochna Bulgaria,:,,25.8,,26.4,,27,,27.1,,25.1,,24.1,,23.8,,24.2,,25.6,(b),26.5,,25.1,
Severozapaden,:,,32.6,,32.9,,30.5,,31.4,,29.4,,27.4,,27,,30.4,,32.1,(b),32.8,,35.1,
Severen tsentralen,:,,25.8,,27.8,,28.8,,28,,23.6,,17.9,,21.2,,19.3,,24,(b),24,,20.8,
Severoiztochen,:,,23,,23.3,,24.2,,26,,24,,25.8,,23.1,,25,,25,(b),23.7,,23.6,
Yugoiztochen,:,,22.5,,22.8,,25.1,,23.9,,24,,25,,23.9,,22.8,,22.6,(b),26.2,,22.5,
Yugozapadna i yuzhna tsentralna Bulgaria,:,,16.6,,16.8,,13.9,,17.1,,17.1,,17.7,,19.7,,19.7,,20.1,(b),20.3,,18.8,
Yugozapaden,:,,12.2,,10.6,,9,,11.2,,10.9,,10.3,,11.3,,11.7,,13.4,(b),13.8,,13.2,
Yuzhen tsentralen,:,,22.6,,25.2,,20.6,,25.3,,26.1,,28.6,,32,,31.4,,30.1,(b),29.9,,27.2,
Czechia,9.6,,9,,8.6,,9,,9.8,,9.6,,8.6,,9.7,,9.7,,9.7,,9.1,,:,
Praha,4.2,,6,,4.6,,4,,4.6,,6.2,,4.4,,5.3,,5.2,,7.4,,6.2,,:,
Strední Cechy,8.2,,7.4,,7.5,,7.4,,6.1,,7.3,,4.8,,5.3,,5.5,,6.5,,7.2,,:,
Jihozápad,7.3,,5.8,,6.8,,7,,7.3,,7,,6.9,,8.7,,7.9,,7.8,,7.7,,:,
Severozápad,15.4,,13,,11.6,,14.6,,17.1,,14.5,,12.9,,14.1,,16,,15,,13.7,,:,
Severovýchod,8.9,,6.8,,6.9,,7.8,,7.9,,8.2,,8.8,,9.4,,7.4,,7.7,,8,,:,
Jihovýchod,7.2,,9,,8.5,,9.6,,10,,9.1,,6.6,,8.1,,9.1,,7.5,,8.4,,:,
Strední Morava,11.1,,10.8,,11,,10.1,,11.3,,11,,10.3,,12.1,,11.5,,10.2,,9.3,,:,
Moravskoslezsko,15.7,,14.1,,12.1,,11.9,,15.1,,14.7,,15.3,,16,,16.9,,17.4,,14.1,,:,
Denmark,11.7,,11.8,,13.1,,13.3,,12.1,(b),12,,11.9,,12.1,,12.2,,11.9,,12.4,,12.8,(p)
Hovedstaden,11.4,,12.4,,13.2,,16,,12.1,(b),11.9,,9.3,,12.1,,13.2,,14,,13.5,,15.4,(p)
Sjælland,8.7,,10.1,,9.1,,10.7,,11,(b),13.1,,9,,10.8,,7.8,,10.8,,10.9,,10.4,(p)
Syddanmark,12.5,,10.1,,14.4,,11.5,,13.3,(b),11.3,,10.9,,13.2,,13,,11.3,,12.3,,10.7,(p)
Midtjylland,11.1,,12.6,,13.3,,13.3,,12.1,(b),13,,14.8,,11.7,,11.8,,10.4,,11.2,,12,(p)
Nordjylland,15.8,,14.6,,14.9,,12.9,,10.6,(b),9.7,,16.8,,12.6,,14.3,,12.1,,13.9,,14.5,(p)
Germany,15.2,,15.2,,15.5,,15.6,,15.8,,16.1,,16.1,,16.7,,16.7,,16.5,,16.1,,:,
Estonia,19.4,,19.5,,19.7,,15.8,,17.5,,17.5,,18.6,,21.8,(b),21.6,,21.7,,21,,:,
Ireland,17.2,,15.5,,15,,15.2,,15.2,,16.6,,15.7,,16.4,,16.3,,16.8,,15.6,,:,
Northern and Western,:,,:,,:,,:,,:,,20.5,,21.2,,:,,:,,21.6,,21.4,,:,
Southern,:,,:,,:,,:,,:,,18.4,,17.3,,:,,:,,17.5,,17.1,,:,
Eastern and Midland,:,,:,,:,,:,,:,,14.1,,12.8,,:,,:,,14.6,,12.6,,:,
"Border, Midland and Western (NUTS 2013)",23,,20.3,,17.8,,14.3,,19.9,,:,,:,,:,,:,,:,,:,,:,
Southern and Eastern (NUTS 2013),15.1,,13.7,,14,,15.6,,13.4,,:,,:,,:,,:,,:,,:,,:,
Greece,20.3,,20.1,,19.7,,20.1,,21.4,,23.1,,23.1,,22.1,,21.4,,21.2,,20.2,,:,
Voreia Ellada,26.7,,25.5,,26.5,,24.8,,25,,26.3,,26.1,,25.4,,24.1,,23.3,,22.3,,:,
Kentriki Ellada,24.7,,25.4,,23.7,,22.8,,24.9,,28.7,,24.2,,26.1,,25.4,,25,,24.2,,:,
Attiki,13.1,,13.1,,12.8,,16.3,,18.3,,18.1,,20.1,,15.6,,15.8,,16.5,,15.5,,:,
"Nisia Aigaiou, Kriti",19.4,,19,,18.4,,16.5,,14.8,,20.1,,23.6,,27.2,,23.6,,22.7,,21.6,,:,
Spain,19.7,,19.8,(b),20.4,,20.7,,20.6,,20.8,,20.4,,22.2,,22.1,,22.3,,21.6,,:,
Noroeste (ES),16.4,,18.1,(b),17.9,,16.8,,15.7,,16.9,,16.5,,16.4,,18.2,,17.2,,17.1,,:,
